strain,date,clade_membership,country,region,url,author,accession
DENV_1/MX/BID_V7601/2008,2008-11-27 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189334
DENV_1/MX/BID_V7604/2008,2008-06-15 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189335
DENV_1/MX/BID_V7613/2009,2009-01-01 (2009-01-01 - 2009-10-15),DENV1/V,Mexico,North America,,Zody et al B,KJ189344
DENV_1/MX/BID_V3711/2007,2007-08-17 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Henn et al B,GU131972
DENV_1/MX/BID_V7596/2007,2007-10-13 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189330
DENV_1/MX/BID_V3745/2008,2008-01-01 (2008-01-01 - 2008-08-30),DENV1/V,Mexico,North America,,Henn et al B,GU131982
DENV_1/MX/BID_V3747/2008,2008-01-09 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,?,GQ868531
DENV_1/MX/BID_V3736/2007,2007-06-20 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al D,KF955429
DENV_1/MX/BID_V3730/2007,2007-02-15 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Henn et al Y,GQ868523
DENV_1/MX/BID_V7568/2008,2008-01-01 (2008-01-01 - 2008-09-21),DENV1/V,Mexico,North America,,Zody et al B,KJ189315
DENV_1/MX/BID_V7588/2007,2007-04-28 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189322
DENV_1/MX/BID_V3735/2007,2007-06-27 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,?,GQ868526
DENV_1/MX/BID_V3701/2007,2007-06-27 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,?,GQ868512
DENV_1/VE/BID_V2171/1999,1999-01-01 (1999-01-01 - 1999-11-14),DENV1/V,Venezuela,South America,,Henn et al K,FJ639743
DENV_1/CO/BID_V3377/1998,1998-02-04 (1998-01-01 - 1998-12-31),DENV1/V,Colombia,South America,,?,GQ868560
DENV_1/CO/BID_V3376/1998,1998-12-31 (1998-03-21 - 1998-12-31),DENV1/V,Colombia,South America,,?,GQ868559
DENV_1/VE/BID_V2168/1998,1998-12-31 (1998-03-02 - 1998-12-31),DENV1/V,Venezuela,South America,,Henn et al K,FJ639740
DENV_1/VE/BID_V2469/2008,2008-01-01 (2008-01-01 - 2008-08-23),DENV1/V,Venezuela,South America,,Henn et al S,FJ850104
DENV_1/VE/BID_V3558/2005,2005-01-01 (2005-01-01 - 2005-09-01),DENV1/V,Venezuela,South America,,Henn et al B,GU131837
DENV_1/VE/BID_V3550/2001,2001-01-01 (2001-01-01 - 2001-07-08),DENV1/V,Venezuela,South America,,Henn et al B,GU131834
DENV_1/CO/BID_V3379/2001,2001-12-31 (2001-02-26 - 2001-12-31),DENV1/V,Colombia,South America,,Henn et al B,GU131948
DENV_1/CO/BID_V7291/1998,1998-12-31 (1998-10-01 - 1998-12-31),DENV1/V,Colombia,South America,,Zody et al B,KJ189303
DENV_1/CO/BID_V3388/2007,2007-01-01 (2007-01-01 - 2007-08-11),DENV1/V,Colombia,South America,,?,GQ868568
DENV_1/CO/BID_V3387/2007,2007-01-01 (2007-01-01 - 2007-06-03),DENV1/V,Colombia,South America,,?,GQ868567
DENV_1/CO/BID_V7292/2005,2005-12-31 (2005-07-15 - 2005-12-31),DENV1/V,Colombia,South America,,Zody et al B,KJ189304
DENV_1/CO/BID_V3382/2006,2006-01-01 (2006-01-01 - 2006-10-11),DENV1/V,Colombia,South America,,?,GQ868564
DENV_1/CO/BID_V3390/2007,2007-06-11 (2007-01-01 - 2007-12-31),DENV1/V,Colombia,South America,,Henn et al Y,GQ868569
DENV_1/CO/BID_V3386/2007,2007-01-01 (2007-01-01 - 2007-08-16),DENV1/V,Colombia,South America,,?,GQ868566
DENV_1/CO/BID_V3381/2006,2006-07-08 (2006-01-01 - 2006-12-31),DENV1/V,Colombia,South America,,Henn et al Y,GQ868563
DENV_1/CO/BID_V3385/2006,2006-12-31 (2006-05-15 - 2006-12-31),DENV1/V,Colombia,South America,,?,GQ868565
DENV_1/CO/BID_V3383/2006,2006-08-05 (2006-01-01 - 2006-12-31),DENV1/V,Colombia,South America,,Henn et al B,GU131949
DENV_1/CO/BID_V3391/2008,2008-12-12 (2008-01-01 - 2008-12-31),DENV1/V,Colombia,South America,,Henn et al Y,GQ868570
DENV1_VE_IDAMS_910132_2015_10_19,10/19/2015,DENV1/V,Venezuela,South America,,Lizarazo et al,MH450312
3818/DENV1,9/29/2019,DENV1/V,Mexico,North America,,?,MT899083
D1_Ecuador_00219_P_12902_2015_04_08,4/8/2015,DENV1/V,Ecuador,South America,,?,MN449016
D1_Ecuador_00257_P_12908_2015_05_20,5/20/2015,DENV1/V,Ecuador,South America,,?,MN449015
D1_Ecuador_00225_P_12904_2015_04_20,4/20/2015,DENV1/V,Ecuador,South America,,?,MN449014
EC0426_1/seq/01,2017-04-01 (2017-04-01 - 2017-04-28),DENV1/V,Ecuador,South America,,?,MN556095
D1_Ecuador_TD_00043S_10629_2014_04_16,4/16/2014,DENV1/V,Ecuador,South America,,?,MN449013
TD_00044_S,2014-04-17 (2014-01-01 - 2014-12-31),DENV1/V,Ecuador,South America,,?,KY474303
TD_00043_S,2014-04-17 (2014-01-01 - 2014-12-31),DENV1/V,Ecuador,South America,,?,KY474304
DENV1/EC/Esmeraldas/210/2014,2/17/2014,DENV1/V,Ecuador,South America,,Wise et al,MF797878
TD_00061_P,2014-01-01 (2014-01-01 - 2014-06-25),DENV1/V,Ecuador,South America,,Stewart-Ibarra et al,KY474307
D1_Ecuador_00248_P_12907_2015_05_12,5/12/2015,DENV1/V,Ecuador,South America,,?,MN449012
D1_Ecuador_00229_P_12905_2015_04_22,4/22/2015,DENV1/V,Ecuador,South America,,?,MN449011
D1_Ecuador_00222_P_12903_2015_04_16,4/16/2015,DENV1/V,Ecuador,South America,,?,MN449009
D1_Ecuador_00306_P_12910_2015_07_30,7/30/2015,DENV1/V,Ecuador,South America,,?,MN449010
D1_Ecuador_00274_P_12909_2015_06_10,6/10/2015,DENV1/V,Ecuador,South America,,?,MN449007
D1_Ecuador_00239_P_12906_2015_05_07,5/7/2015,DENV1/V,Ecuador,South America,,?,MN449008
HNRG37945,12/29/2010,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692517
00099_S,2014-01-31 (2014-01-01 - 2014-12-31),DENV1/V,Ecuador,South America,,?,KY474305
TD_00087_P,2014-08-20 (2014-01-01 - 2014-12-31),DENV1/V,Ecuador,South America,,Stewart-Ibarra et al,KY474306
DENV_1/VE/BID_V2230/2004,2004-11-14 (2004-01-01 - 2004-12-31),DENV1/V,Venezuela,South America,,Henn et al K,FJ639797
DENV_1/VE/BID_V3563/2006,2006-01-01 (2006-01-01 - 2006-06-19),DENV1/V,Venezuela,South America,,Zody et al D,KF955413
DENV_1/VE/BID_V2245/2005,2005-05-10 (2005-01-01 - 2005-12-31),DENV1/V,Venezuela,South America,,Henn et al K,FJ639808
DENV_1/VE/BID_V2243/2007,2007-01-01 (2007-01-01 - 2007-05-19),DENV1/V,Venezuela,South America,,Henn et al K,FJ639806
DENV_1/VE/BID_V2237/2004,2004-12-31 (2004-10-07 - 2004-12-31),DENV1/V,Venezuela,South America,,Henn et al Z,FJ744701
DENV_1/VE/BID_V2227/2004,2004-01-01 (2004-01-01 - 2004-08-26),DENV1/V,Venezuela,South America,,Henn et al K,FJ639794
DENV_1/VE/BID_V2235/2004,2004-04-09 (2004-01-01 - 2004-12-31),DENV1/V,Venezuela,South America,,Henn et al K,FJ639802
DENV_1/VE/BID_V2258/2006,2006-01-01 (2006-01-01 - 2006-10-28),DENV1/V,Venezuela,South America,,Henn et al K,FJ639818
DENV_1/CO/BID_V3380/2005,2005-12-31 (2005-05-13 - 2005-12-31),DENV1/V,Colombia,South America,,Henn et al Y,GQ868562
VE_61068_2006,2006-12-01 (2006-01-01 - 2006-12-31),DENV1/V,Venezuela,South America,,Rodriguez-Roche et al (https://www.ncbi.nlm.nih.gov/pubmed/22197765),HQ332180
DENV_1/VE/BID_V2461/2007,2007-01-01 (2007-01-01 - 2007-07-20),DENV1/V,Venezuela,South America,,Henn et al S,FJ850100
DENV_1/VE/BID_V2606/2006,2006-12-31 (2006-05-10 - 2006-12-31),DENV1/V,Venezuela,South America,,Henn et al C,JN819405
DENV1_10429,2011-12-31 (2011-08-01 - 2011-12-31),DENV1/V,Venezuela,South America,,?,KU509254
DENV_1/BR/BID_V2401/2008,2008-01-01 (2008-01-01 - 2008-08-23),DENV1/V,Brazil,South America,,Henn et al A,FJ850093
V222,5/13/2019,DENV1/V,Brazil,South America,,?,MT862860
DENV_1/VE/BID_V2260/2006,2006-04-07 (2006-01-01 - 2006-12-31),DENV1/V,Venezuela,South America,,Henn et al K,FJ639820
DENV_1/VE/BID_V2264/2006,2006-01-01 (2006-01-01 - 2006-09-12),DENV1/V,Venezuela,South America,,Henn et al K,FJ639824
DENV_1/VE/BID_V2229/2004,2004-01-01 (2004-01-01 - 2004-09-19),DENV1/V,Venezuela,South America,,Henn et al K,FJ639796
DENV_1/VE/BID_V2459/2007,2007-01-01 (2007-01-01 - 2007-09-11),DENV1/V,Venezuela,South America,,Henn et al S,FJ850099
DENV_1/VE/BID_V2425/2005,2005-12-31 (2005-07-29 - 2005-12-31),DENV1/V,Venezuela,South America,,Zody et al D,KF955407
DENV_1/VE/BID_V2251/2005,2005-10-14 (2005-01-01 - 2005-12-31),DENV1/V,Venezuela,South America,,Henn et al K,FJ639813
DENV_1/VE/BID_V2249/2005,2005-12-31 (2005-03-23 - 2005-12-31),DENV1/V,Venezuela,South America,,Henn et al C,JN819411
DENV_1/VE/BID_V1134/2007,2007-03-04 (2007-01-01 - 2007-12-31),DENV1/V,Venezuela,South America,,Henn et al I,EU482609
DENV_1/VE/BID_V2462/2007,2007-03-04 (2007-01-01 - 2007-12-31),DENV1/V,Venezuela,South America,,Henn et al Q,FJ873809
DENV_1/VE/BID_V2463/2007,2007-05-20 (2007-01-01 - 2007-12-31),DENV1/V,Venezuela,South America,,Henn et al S,FJ850101
DENV_1/VE/BID_V2252/2005,2005-01-01 (2005-01-01 - 2005-07-26),DENV1/V,Venezuela,South America,,Henn et al C,JN819412
DENV_1/VE/BID_V2250/2005,2005-12-31 (2005-05-25 - 2005-12-31),DENV1/V,Venezuela,South America,,Henn et al K,FJ639812
DENV_1/VE/BID_V2265/2006,2006-11-22 (2006-01-01 - 2006-12-31),DENV1/V,Venezuela,South America,,Henn et al C,JN819413
DENV_1/VE/BID_V2263/2006,2006-12-31 (2006-05-18 - 2006-12-31),DENV1/V,Venezuela,South America,,Henn et al K,FJ639823
DENV_1/VE/BID_V2466/2007,2007-12-10 (2007-01-01 - 2007-12-31),DENV1/V,Venezuela,South America,,Henn et al C,JN819414
VE_61084_2007,2007-01-01 (2007-01-01 - 2007-09-01),DENV1/V,Venezuela,South America,,Rodriguez-Roche et al (https://www.ncbi.nlm.nih.gov/pubmed/22197765),HQ332179
DENV_1/VE/BID_V2460/2007,2007-07-04 (2007-01-01 - 2007-12-31),DENV1/V,Venezuela,South America,,Zody et al D,KF955408
DENV_1/VE/BID_V3578/2007,2007-01-01 (2007-01-01 - 2007-08-11),DENV1/V,Venezuela,South America,,Henn et al B,GU131842
DENV_1/VE/BID_V2465/2007,2007-12-31 (2007-06-02 - 2007-12-31),DENV1/V,Venezuela,South America,,Henn et al AA,FJ882579
VE_61059_2006,2006-11-01 (2006-01-01 - 2006-12-31),DENV1/V,Venezuela,South America,,Rodriguez-Roche et al (https://www.ncbi.nlm.nih.gov/pubmed/22197765),HQ332177
VE_61060_2006,2006-11-01 (2006-01-01 - 2006-12-31),DENV1/V,Venezuela,South America,,Rodriguez-Roche et al (https://www.ncbi.nlm.nih.gov/pubmed/22197765),HQ332178
DENV_1/CO/BID_V3378/1999,1999-01-01 (1999-01-01 - 1999-09-01),DENV1/V,Colombia,South America,,Henn et al Y,GQ868561
DENV_1/CO/BID_V7290/1998,1998-01-03 (1998-01-01 - 1998-12-31),DENV1/V,Colombia,South America,,Zody et al B,KJ189302
DENV_1/VE/BID_V2261/2006,2006-01-01 (2006-01-01 - 2006-11-25),DENV1/V,Venezuela,South America,,Henn et al K,FJ639821
DENV_1/VE/BID_V3541/1997,1997-12-31 (1997-03-05 - 1997-12-31),DENV1/V,Venezuela,South America,,Henn et al L,GU056030
DENV_1/VE/BID_V2248/2005,2005-01-01 (2005-01-01 - 2005-11-25),DENV1/V,Venezuela,South America,,Henn et al K,FJ639811
DENV_1/VE/BID_V3566/2006,2006-01-01 (2006-01-01 - 2006-09-13),DENV1/V,Venezuela,South America,,Zody et al D,KF955414
DENV_1/VE/BID_V2259/2006,2006-01-01 (2006-01-01 - 2006-10-13),DENV1/V,Venezuela,South America,,Henn et al K,FJ639819
HNRG28425,5/18/2010,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692516
DENV1_3852,2008-12-31 (2008-02-27 - 2008-12-31),DENV1/V,Venezuela,South America,,Shihada et al (https://www.ncbi.nlm.nih.gov/pubmed/28098525),KU509251
DENV1_4876,2010-12-31 (2010-03-05 - 2010-12-31),DENV1/V,Venezuela,South America,,Shihada et al (https://www.ncbi.nlm.nih.gov/pubmed/28098525),KU509252
DENV_1/VE/BID_V3547/2000,2000-12-31 (2000-05-12 - 2000-12-31),DENV1/V,Venezuela,South America,,Zody et al D,KF955411
DENV_1/VE/BID_V3565/2006,2006-01-01 (2006-01-01 - 2006-11-25),DENV1/V,Venezuela,South America,,Henn et al B,GU131839
VE_61063_2006,2006-01-01 (2006-01-01 - 2006-11-25),DENV1/V,Venezuela,South America,,Rodriguez-Roche et al (https://www.ncbi.nlm.nih.gov/pubmed/22197765),HQ332181
DENV_1/VE/BID_V3548/2000,2000-01-01 (2000-01-01 - 2000-10-15),DENV1/V,Venezuela,South America,,Henn et al B,GU131832
DENV_1/VE/BID_V3540/1997,1997-12-31 (1997-05-05 - 1997-12-31),DENV1/V,Venezuela,South America,,Henn et al L,GU056029
2010_1806,2010-09-01 (2010-09-01 - 2010-09-27),DENV1/V,France,Europe,,Caro et al,MG518567
DENV_1/PR/BID_V7713/2012,2012-12-31 (2012-02-17 - 2012-12-31),DENV1/V,Puerto Rico,North America,,Zody et al B,KJ189358
DENV_1/PR/BID_V7705/2012,2012-07-17 (2012-01-01 - 2012-12-31),DENV1/V,Puerto Rico,North America,,Zody et al B,KJ189351
DENV_1/PR/BID_V7719/2012,2012-01-01 (2012-01-01 - 2012-09-15),DENV1/V,Puerto Rico,North America,,Zody et al B,KJ189359
DENV_1/US/BID_V852/2006,2006-01-01 (2006-01-01 - 2006-09-10),DENV1/V,Usa,North America,,Henn et al I,EU482591
Haiti2012,2012-01-01 (2012-01-01 - 2012-11-03),DENV1/V,Haiti,North America,,Fontaine et al (https://www.ncbi.nlm.nih.gov/pubmed/30005085),MG877553
DENV1_18037,2010-12-31 (2010-05-01 - 2010-12-31),DENV1/V,Haiti,North America,,?,KU509264
DENV1_17388,2012-12-31 (2012-04-06 - 2012-12-31),DENV1/V,Jamaica,North America,,?,KU509249
DENV_1/PR/BID_V8187/2010,2010-12-31 (2010-04-29 - 2010-12-31),DENV1/V,Puerto Rico,North America,,Zody et al B,KJ189366
Haiti/1207/2014,11/27/2014,DENV1/V,Haiti,North America,,Elbadry et al (https://www.ncbi.nlm.nih.gov/pubmed/28572304),KT279761
DENV_1/PR/BID_V7707/2012,2012-01-01 (2012-01-01 - 2012-07-27),DENV1/V,Puerto Rico,North America,,Zody et al B,KJ189353
DENV_1/PR/BID_V7708/2012,2012-01-01 (2012-01-01 - 2012-10-27),DENV1/V,Puerto Rico,North America,,Zody et al B,KJ189354
DENV_1/PR/BID_V7704/2012,2012-01-01 (2012-01-01 - 2012-09-10),DENV1/V,Puerto Rico,North America,,Zody et al B,KJ189350
DENV_1/PR/BID_V8184/2010,2010-12-31 (2010-07-28 - 2010-12-31),DENV1/V,Puerto Rico,North America,,Zody et al B,KJ189364
DENV_1/PR/BID_V8182/2010,2010-12-31 (2010-09-03 - 2010-12-31),DENV1/V,Puerto Rico,North America,,Zody et al B,KJ189362
DENV_1/VE/BID_V2423/2004,2004-01-01 (2004-01-01 - 2004-11-23),DENV1/V,Venezuela,South America,,Henn et al C,JN819425
DENV_1/VE/BID_V2254/2005,2005-01-01 (2005-01-01 - 2005-08-12),DENV1/V,Venezuela,South America,,Henn et al K,FJ639814
DENV_1/VE/BID_V3543/1998,1998-12-31 (1998-02-06 - 1998-12-31),DENV1/V,Venezuela,South America,,Henn et al L,GU056031
DENV_1/VE/BID_V2255/2006,2006-01-01 (2006-01-01 - 2006-11-19),DENV1/V,Venezuela,South America,,Henn et al K,FJ639815
DENV_1/VE/BID_V2458/2007,2007-12-31 (2007-05-30 - 2007-12-31),DENV1/V,Venezuela,South America,,Zody et al A,KF955441
DENV_1/VE/BID_V2615/2007,2007-10-21 (2007-01-01 - 2007-12-31),DENV1/V,Venezuela,South America,,?,GQ199877
DENV_1/VE/BID_V3576/2007,2007-03-31 (2007-01-01 - 2007-12-31),DENV1/V,Venezuela,South America,,Henn et al B,GU131841
DENV_1/VE/BID_V2467/2007,2007-01-01 (2007-01-01 - 2007-08-08),DENV1/V,Venezuela,South America,,Henn et al Q,FJ873810
DENV_1/VE/BID_V1136/2007,2007-01-01 (2007-01-01 - 2007-10-01),DENV1/V,Venezuela,South America,,Henn et al I,EU482611
DENV_1/VE/BID_V3573/2007,2007-06-30 (2007-01-01 - 2007-12-31),DENV1/V,Venezuela,South America,,Henn et al B,GU131840
DENV_1/VE/BID_V1135/2007,2007-01-31 (2007-01-01 - 2007-12-31),DENV1/V,Venezuela,South America,,Henn et al I,EU482610
DENV_1/VE/BID_V2464/2007,2007-04-10 (2007-01-01 - 2007-12-31),DENV1/V,Venezuela,South America,,Henn et al S,FJ850102
DENV_1/VE/BID_V2253/2005,2005-01-01 (2005-01-01 - 2005-08-17),DENV1/V,Venezuela,South America,,Henn et al V,FJ810415
DENV_1/VE/BID_V2241/2005,2005-01-01 (2005-01-01 - 2005-07-13),DENV1/V,Venezuela,South America,,Henn et al C,JN819410
DENV_1/VE/BID_V2468/2008,2008-01-01 (2008-01-01 - 2008-09-19),DENV1/V,Venezuela,South America,,Henn et al S,FJ850103
DENV_1/VE/BID_V3562/2006,2006-01-01 (2006-01-01 - 2006-07-29),DENV1/V,Venezuela,South America,,Henn et al B,GU131838
HNRG13561,4/14/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692503
HNRG13301,4/6/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692501
HNRG25001,2/17/2010,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692512
HNRG28226,5/14/2010,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692515
HNRG12560,3/2/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692497
HNRG12589,3/3/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692498
HNRG13708,4/16/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692505
HNRG13154,3/31/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692499
HNRG12447,2/19/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692496
14985/BR_PE/10,2010-01-01 (2010-01-01 - 2010-09-14),DENV1/V,Brazil,South America,,Silva et al,JX669466
12898/BR_PE/10,2010-10-28 (2010-01-01 - 2010-12-31),DENV1/V,Brazil,South America,,Silva et al,JX669462
13501/BR_PE/10,2010-02-26 (2010-01-01 - 2010-12-31),DENV1/V,Brazil,South America,,Silva et al,JX669463
HNRG15417,5/28/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692510
HNRG27486,5/3/2010,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692514
HNRG13707,4/16/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692504
HNRG14076,4/23/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692507
HNRG14635,5/5/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692509
HNRG13405,4/9/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692502
HNRG14043,4/22/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692506
HNRG13188,4/1/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692500
HNRG12188,2/3/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692495
DENV1_BR/SJRP/354/2011,5/24/2011,DENV1/V,Brazil,South America,,Vedovello et al,KP188541
DENV1_BR/SJRP/287/2011,5/3/2011,DENV1/V,Brazil,South America,,Vedovello et al,KP188540
BR/SJRP/395/2011,6/8/2011,DENV1/V,Brazil,South America,,Vedovello et al,KP188542
HNRG14194,4/24/2009,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692508
1266/2011/BR/RJ/2011,2011-01-01 (2011-01-01 - 2011-11-23),DENV1/V,Brazil,South America,,Nogueira et al,KF672760
V221,5/13/2019,DENV1/V,Brazil,South America,,?,MT862857
V1170,3/19/2019,DENV1/V,Brazil,South America,,?,MT862858
V1428,5/29/2019,DENV1/V,Brazil,South America,,?,MT862865
V1423,6/18/2019,DENV1/V,Brazil,South America,,?,MT862866
V1127,3/25/2019,DENV1/V,Brazil,South America,,?,MT862855
V215,5/13/2019,DENV1/V,Brazil,South America,,?,MT862861
V1258,5/6/2019,DENV1/V,Brazil,South America,,?,MT862859
V1387,6/18/2019,DENV1/V,Brazil,South America,,?,MT862867
V1005,11/28/2018,DENV1/V,Brazil,South America,,?,MT862887
V1383,6/18/2019,DENV1/V,Brazil,South America,,?,MT862869
V1287,5/6/2019,DENV1/V,Brazil,South America,,?,MT862870
V1453,6/14/2019,DENV1/V,Brazil,South America,,?,MT862868
V731,5/12/2018,DENV1/V,Brazil,South America,,?,MT862876
V786,6/10/2018,DENV1/V,Brazil,South America,,?,MT862856
V736,5/13/2018,DENV1/V,Brazil,South America,,?,MT862864
V891,6/17/2018,DENV1/V,Brazil,South America,,?,MT862863
USP_CB_111,6/5/2019,DENV1/V,Brazil,South America,,?,MW208056
V840,6/20/2018,DENV1/V,Brazil,South America,,?,MT862872
V954,10/1/2018,DENV1/V,Brazil,South America,,?,MT862873
V894,6/3/2018,DENV1/V,Brazil,South America,,?,MT862888
V762,5/26/2018,DENV1/V,Brazil,South America,,?,MT862881
V760,5/27/2018,DENV1/V,Brazil,South America,,?,MT862880
V742,6/4/2018,DENV1/V,Brazil,South America,,?,MT862882
V761,5/26/2018,DENV1/V,Brazil,South America,,?,MT862871
V782,5/18/2018,DENV1/V,Brazil,South America,,?,MT862879
V735,5/13/2018,DENV1/V,Brazil,South America,,?,MT862875
V810,6/7/2018,DENV1/V,Brazil,South America,,?,MT862874
V854,6/16/2018,DENV1/V,Brazil,South America,,?,MT862877
V638,4/23/2018,DENV1/V,Brazil,South America,,?,MT862883
V644,4/20/2018,DENV1/V,Brazil,South America,,?,MT862895
V641,4/21/2018,DENV1/V,Brazil,South America,,?,MT862862
V707,5/7/2008,DENV1/V,Brazil,South America,,?,MT862854
V706,5/4/2018,DENV1/V,Brazil,South America,,?,MT862886
V711,5/4/2018,DENV1/V,Brazil,South America,,?,MT862884
V709,5/9/2018,DENV1/V,Brazil,South America,,?,MT862885
V635,4/21/2018,DENV1/V,Brazil,South America,,?,MT862893
V634,4/21/2018,DENV1/V,Brazil,South America,,?,MT862889
V636,4/22/2018,DENV1/V,Brazil,South America,,?,MT862890
V639,4/21/2018,DENV1/V,Brazil,South America,,?,MT862891
V640,4/22/2018,DENV1/V,Brazil,South America,,?,MT862894
V705,5/7/2018,DENV1/V,Brazil,South America,,?,MT862892
DENV_1/THAI/606147/1960,1960-12-31 (1960-02-18 - 1960-12-31),DENV1/II,Thailand,Southeast Asia,,Jayashri et al,JQ922547
DENV1_3746,2010-12-31 (2010-02-20 - 2010-12-31),DENV1/IV,Indonesia,Southeast Asia,,Shihada et al (https://www.ncbi.nlm.nih.gov/pubmed/28098525),KU509261
98901530_DF_DV_1,1998-01-01 (1998-01-01 - 1998-10-30),DENV1/IV,Indonesia,Southeast Asia,,Dewi et al,AB189121
GZ/5700/D1/2007,2007-01-01 (2007-01-01 - 2007-09-28),DENV1/IV,China,China,,Bai et al,KT827366
GD66/03,2003-01-01 (2003-01-01 - 2003-08-21),DENV1/IV,China,China,,Wu et al A (https://www.ncbi.nlm.nih.gov/pubmed/21703015),FJ196842
GD54/03,2003-12-31 (2003-03-25 - 2003-12-31),DENV1/IV,China,China,,Wu et al A (https://www.ncbi.nlm.nih.gov/pubmed/21703015),FJ196841
GZ/215/D1/2002,2002-01-01 (2002-01-01 - 2002-08-06),DENV1/IV,China,China,,Bai et al,KT827364
GZ2002,2002-09-30 (2002-09-04 - 2002-09-30),DENV1/IV,China,China,,Fang et al,JN205310
GD03/91,1991-01-01 (1991-01-01 - 1991-11-15),DENV1/IV,China,China,,Wu et al A (https://www.ncbi.nlm.nih.gov/pubmed/21703015),FJ196845
SUB_026A,2012-01-01 (2012-01-01 - 2012-11-12),DENV1/IV,Indonesia,Southeast Asia,,?,KY057366
V9076,2015-03-31 (2015-03-04 - 2015-03-31),DENV1/IV,Singapore,Southeast Asia,,Koo et al A,MF033231
D1/Hu/Philippines/NIID13/2016,2016-01-31 (2016-01-04 - 2016-01-31),DENV1/IV,Philippines,Southeast Asia,,Tajima et al A,LC128301
DENV_1/PH/BID_V2940/2004,2004-12-31 (2004-02-19 - 2004-12-31),DENV1/IV,Philippines,Southeast Asia,,?,GQ868602
HawO3663,2001-06-28 (2001-01-01 - 2001-12-31),DENV1/IV,Usa,North America,,Imrie et al (https://www.ncbi.nlm.nih.gov/pubmed/20507696),DQ672564
D1/Taiwan/900PT0407a,2004-07-01 (2004-07-01 - 2004-07-28),DENV1/IV,Taiwan,China,,?,KX951689
DenKor_07,2006-03-03 (2006-01-01 - 2006-12-31),DENV1/IV,South Korea,Japan Korea,,Go et al (https://www.ncbi.nlm.nih.gov/pubmed/26607895),KP406803
Su1,4/24/2012,DENV1/IV,China,China,,Wang et al B,KJ933413
GZ/12375/D1/2010,2010-03-14 (2010-01-01 - 2010-12-31),DENV1/IV,China,China,,Bai et al,KT827367
D1/SG/CT3/2012,2012-12-31 (2012-03-06 - 2012-12-31),DENV1/IV,Singapore,Southeast Asia,,?,KX380797
19XN21528,8/26/2019,DENV1/IV,China,China,,?,MN923105
