strain,date,url,clade_membership,country,region,age,age_range1,age_range2,age_range3,collab_country,date_added,symptom,author,accession
TTa-11-Ph344,2011-08-14 (2011-08-01 - 2011-08-31),,B,Philippines,Southeast Asia,,,,,,7/15/2019,,"Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.",KX789260
EVD68/Homosapiens/VNM/VN7/2009,2009-12-23 (2009-01-01 - 2009-12-31),,B,Vietnam,Southeast Asia,,,<18y,<18y,,7/15/2019,,"Nguyen,N.N.",MF045419
EVD68/Homosapiens/VNM/VN8/2009,2009-05-10 (2009-01-01 - 2009-12-31),,B,Vietnam,Southeast Asia,,,<18y,<18y,,7/15/2019,,"Nguyen,N.N.",MF045420
TBp-13-Ph440,2013-12-31 (2013-12-05 - 2013-12-31),,B3,Philippines,Southeast Asia,,,,,,7/15/2019,,"Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.",KX789261
EVD68/Homosapiens/VNM/VN2/2014,2014-06-20 (2014-01-01 - 2014-12-31),,B3,Vietnam,Southeast Asia,,,<18y,<18y,,7/15/2019,,"Nguyen,N.N.",MF045414
EVD68/Homosapiens/VNM/VN1/2014,2014-05-08 (2014-01-01 - 2014-12-31),,B3,Vietnam,Southeast Asia,,,<18y,<18y,,7/15/2019,,"Nguyen,N.N.",MF045413
EVD68/Homosapiens/VNM/VN6/2014,2014-04-08 (2014-01-01 - 2014-12-31),,B3,Vietnam,Southeast Asia,,,<18y,<18y,,7/15/2019,,"Nguyen,N.N.",MF045418
EVD68/Homosapiens/VNM/VN4/2014,2014-06-08 (2014-01-01 - 2014-12-31),,B3,Vietnam,Southeast Asia,,,<18y,<18y,,7/15/2019,,"Nguyen,N.N.",MF045416
2014-R1357,2014-11-19,,B3,China,China,8,6-17y,<18y,<18y,,7/15/2019,,"Zhang,T.",KT280496
EVD68/SZ04/CHN/2015,2015-12-31 (2015-12-05 - 2015-12-31),,B3,China,China,,,<18y,<18y,,7/15/2019,,"Chen,L., Shi,L., Yang,H., Gu,D.Y., Meng,J., Xu,Y.Q., Yao,X.J., Zhang,H.L., Cheng,J.Q., Ma,H.W., Zhang,R.L. and He,Y.Q.",KU982561
Beijing-R0132,2014-08-11,,B3,China,China,5,1-5y,<18y,<18y,,7/15/2019,,"Zhang,T.",KP240936
BCH4235A,2014-08-11,,B3,China,China,,,<18y,<18y,,7/15/2019,,"Xiang,Z. and Wang,J.",KT285485
TW-02512-2014,2014-08-12,,B3,Taiwan,China,3,1-5y,<18y,<18y,,7/15/2019,,"Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.",KT711086
A184-OsakaC-JPN-2015,2015-07-27,,B3,Japan,Japan Korea,0.17,<1y,<18y,<18y,,7/15/2019,,"Kaida,A., Iritani,N., Yamamoto,S.P., Kanbayashi,D., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.",LC107897
594-OsakaC-JPN-2015,2015-08-15,,B3,Japan,Japan Korea,4.08,1-5y,<18y,<18y,,7/15/2019,,"Kaida,A., Iritani,N., Yamamoto,S.P., Kanbayashi,D., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.",LC107895
SMC-15-Sendai876,2015-09-30 (2015-09-05 - 2015-09-30),,B3,Japan,Japan Korea,,,,,,7/15/2019,,"Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.",KX789266
2014-R0672,2014-09-20,,B3,China,China,10,6-17y,<18y,<18y,,7/15/2019,,"Zhang,T.",KT280500
CHN/CQ7188/2014,2014-09-11,,B3,China,China,2.33,1-5y,<18y,<18y,,7/15/2019,,"Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.",KT803592
EVD68/Homosapiens/VNM/VN3/2014,2014-07-11 (2014-01-01 - 2014-12-31),,B3,Vietnam,Southeast Asia,,,<18y,<18y,,7/15/2019,,"Nguyen,N.N.",MF045415
EVD68/Homosapiens/VNM/VN5/2014,2014-12-31 (2014-10-14 - 2014-12-31),,B3,Vietnam,Southeast Asia,,,<18y,<18y,,7/15/2019,,"Nguyen,N.N.",MF045417
CHN/CQ7174/2014,2014-09-18,,B3,China,China,5.67,1-5y,<18y,<18y,,7/15/2019,,"Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.",KT803598
CHN/CQ7360/2014,2014-10-25,,B3,China,China,10.67,6-17y,<18y,<18y,,7/15/2019,,"Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.",KT803600
TW-02809-2014,2014-09-11,,B3,Taiwan,China,2,1-5y,<18y,<18y,,7/15/2019,,"Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.",KT711087
2014-R1153,2014-10-20,,B3,China,China,8,6-17y,<18y,<18y,,7/15/2019,,"Zhang,T.",KT280497
TW-02795-2014,2014-09-10,,B3,Taiwan,China,52,18-64y,18-64y,>=18y,,7/15/2019,,"Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.",KT711088
V14-8151546,2014-07-23,,B3,Hong Kong,China,5,1-5y,<18y,<18y,,7/15/2019,,"Yip,C.C.Y., Lo,J.Y.C., Sridhar,S., Lung,D.C., Luk,S., Chan,K.H., Chan,J.F.W., Cheng,V.C.C., Woo,P.C.Y., Yuen,K.Y. and Lau,S.K.P.",KY767822
2014-R1011,2014-10-20,,B3,China,China,3,1-5y,<18y,<18y,,7/15/2019,,"Zhang,T.",KT280498
CHN/CQ7225/2014,2014-09-27,,B3,China,China,4,1-5y,<18y,<18y,,7/15/2019,,"Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.",KT803599
EV68_Alberta2985_2014,2014-09-02,,B3,Canada,North America,,,,,,7/15/2019,,"Pabbaraju,K., Wong,S., Zarra,D., Gill,K., Drews,S., Tipples,G. and Tellier,R.",KP114664
CHN/CQ7214/2014,2014-09-23,,B3,China,China,2.67,1-5y,<18y,<18y,,7/15/2019,,"Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.",KT803594
CHN/CQ7226/2014,2014-09-26,,B3,China,China,5.92,1-5y,<18y,<18y,,7/15/2019,,"Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.",KT803596
CHN/CQ7170/2014,2014-09-18,,B3,China,China,2.75,1-5y,<18y,<18y,,7/15/2019,,"Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.",KT803591
CHN/CQ5571/2013,2013-10-16,,B3,China,China,4.17,1-5y,<18y,<18y,,7/15/2019,,"Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.",KT803590
2014-R970,2014-10-15,,B3,China,China,11,6-17y,<18y,<18y,,7/15/2019,,"Zhang,T.",KT280499
CHN/CQ7233/2014,2014-09-30,,B3,China,China,1.92,1-5y,<18y,<18y,,7/15/2019,,"Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.",KT803597
CHN/CQ7208/2014,2014-09-22,,B3,China,China,6.92,6-17y,<18y,<18y,,7/15/2019,,"Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.",KT803593
CHN/CQ7280/2014,2014-10-13,,B3,China,China,1.25,1-5y,<18y,<18y,,7/15/2019,,"Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.",KT803595
TW-00821-2014,2014-08-01,,B3,Taiwan,China,1,1-5y,<18y,<18y,,7/15/2019,,"Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.",KT711084
TW-00928-2014,2014-09-03,,B3,Taiwan,China,4,1-5y,<18y,<18y,,7/15/2019,,"Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.",KT711085
TW-00932-2014,2014-09-11,,B3,Taiwan,China,3,1-5y,<18y,<18y,,7/15/2019,,"Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.",KT711081
TW-00909-2014,2014-09-02,,B3,Taiwan,China,4,1-5y,<18y,<18y,,7/15/2019,,"Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.",KT711080
TW-00893-2014,2014-08-22,,B3,Taiwan,China,16,6-17y,<18y,<18y,,7/15/2019,,"Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.",KT711079
TW-00898-2014,2014-08-20,,B3,Taiwan,China,17,6-17y,<18y,<18y,,7/15/2019,,"Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.",KT711082
TW-00785-2014,2014-07-17,,B3,Taiwan,China,2,1-5y,<18y,<18y,,7/15/2019,,"Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.",KT711083
TW-00880-2014,2014-08-19,,B3,Taiwan,China,46,18-64y,18-64y,>=18y,,7/15/2019,,"Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.",KT711078
EVD68/Homosapiens/VNM/VN10/2013,2013-01-28 (2013-01-01 - 2013-12-31),,B3,Vietnam,Southeast Asia,,,<18y,<18y,,7/15/2019,,"Nguyen,N.N.",MF045422
EVD68_SWE_048_160822_NFLG,2016-08-23,,B3,Sweden,Europe,16,6-17y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674138
MCVR1535,2017-07-29,,B3,India,South Asia,,,,,,,,"Arunkumar, G. et al.",MH733832
NIV1733258,2017-09-14,,B3,India,South Asia,,,,,,7/15/2019,,"Yadav,P.D.",MH330334
NL_05_2019,2019-08-28,,B3,Netherlands,Europe,75,>=65y,>=65y,>=18y,RIVM Netherlands,12/1/2019,,Midgley et al.,MN726800
EVD68_SWE_204_190920_NFLG,2019-09-20,,B3,Sweden,Europe,5,1-5y,<18y,<18y,Karolinska Sweden,12/1/2019,,Midgley et al.,MN935870
2016-R4839,2016-08-02 (2016-08-02 - 2016-08-28),,B3,China,China,5,1-5y,<18y,<18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341716
2016-R5928,2016-10-02 (2016-10-02 - 2016-10-29),,B3,China,China,0.33,<1y,<18y,<18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341724
2016-R3936,2016-08-01 (2016-07-11 - 2016-08-01),,B3,China,China,13,6-17y,<18y,<18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341711
EVD68_SWE_103_181004_NFLG,2018-10-04,,B3,Sweden,Europe,5,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH844544
2016-R6091,2016-11-01 (2016-10-06 - 2016-11-01),,B3,China,China,12,6-17y,<18y,<18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341725
2016-R5733,2016-10-02 (2016-10-02 - 2016-10-25),,B3,China,China,1.8,1-5y,<18y,<18y,,,,"Shen,L., Zhang,T. and Huang,F.",MH041323
2016-R5734,2016-11-01 (2016-10-07 - 2016-11-01),,B3,China,China,7,6-17y,<18y,<18y,,,,"Shen,L., Zhang,T. and Huang,F.",MH041324
EVD68_BEL_005_181019_NFLG,2018-10-19,,B3,Belgium,Europe,0.67,<1y,<18y,<18y,Leuven Belgium,9/9/2019,,"Hodcroft, E. B. et al.",MN245400
EVD68_SWE_104_181022_NFLG,2018-10-22,,B3,Sweden,Europe,1.58,1-5y,<18y,<18y,Karolinska Sweden,9/9/2019,,"Hodcroft, E. B. et al.",MN245447
EVD68_CHE_004_180905_NFLG,2018-09-05,,B3,Switzerland,Europe,71,>=65y,>=65y,>=18y,Basel Switzerland,9/9/2019,,"Hodcroft, E. B. et al.",MN245409
EVD68_ESP_006_180924_NFLG,2018-09-24,,B3,Spain,Europe,2.1,1-5y,<18y,<18y,Barcelona Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245417
EVD68_ESP_001_180903_NFLG,2018-09-03,,B3,Spain,Europe,2.06,1-5y,<18y,<18y,Barcelona Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245412
EVD68_NLD_008_181001_NFLG,2018-10-01,,B3,Netherlands,Europe,3,1-5y,<18y,<18y,Groningen Netherlands,9/9/2019,,"Hodcroft, E. B. et al.",MN245441
EVD68_ESP_012_181018_NFLG,2018-10-18,,B3,Spain,Europe,4.65,1-5y,<18y,<18y,Barcelona Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245423
EVD68_ESP_003_180919_NFLG,2018-09-19,,B3,Spain,Europe,1.44,1-5y,<18y,<18y,Barcelona Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245414
EVD68_ESP_004_180919_NFLG,2018-09-19,,B3,Spain,Europe,0.89,<1y,<18y,<18y,Barcelona Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245415
EVD68_ESP_014_181102_NFLG,2018-11-02,,B3,Spain,Europe,3,1-5y,<18y,<18y,Barcelona Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245425
EVD68_ESP_007_180925_NFLG,2018-09-25,,B3,Spain,Europe,0.68,<1y,<18y,<18y,Barcelona Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245418
EVD68_SWE_101_180924_NFLG,2018-09-24,,B3,Sweden,Europe,0.75,<1y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH844544
EVD68_SWE_106_181102_NFLG,2018-11-02,,B3,Sweden,Europe,1.42,1-5y,<18y,<18y,Karolinska Sweden,9/9/2019,,"Hodcroft, E. B. et al.",MN245448
EVD68_BEL_009_181003_NFLG,2018-10-03,,B3,Belgium,Europe,4.58,1-5y,<18y,<18y,Leuven Belgium,9/9/2019,,"Hodcroft, E. B. et al.",MN245404
EVD68_BEL_001_181008_NFLG,2018-10-08,,B3,Belgium,Europe,0.75,<1y,<18y,<18y,Leuven Belgium,9/9/2019,,"Hodcroft, E. B. et al.",MN245396
EVD68_BEL_002_180927_NFLG,2018-09-27,,B3,Belgium,Europe,10.08,6-17y,<18y,<18y,Leuven Belgium,9/9/2019,,"Hodcroft, E. B. et al.",MN245397
CA-RGDS-1064,2016-07-02 (2016-07-02 - 2016-07-28),,B3,USA,North America,,,,,,1/22/2020,,"Pan,C.-Y., Huynh,T., Padilla,T., Chen,A., Castro,C.J., Marine,R.L., Ng,T.F.F., Nix,W.A., Morales,C. and Wadford,D.A.",MN365195
A250-OsakaC-JPN-2015,2015-09-17,,B3,Japan,Japan Korea,1.17,1-5y,<18y,<18y,,7/15/2019,,"Kaida,A., Iritani,N., Yamamoto,S.P., Kanbayashi,D., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.",LC107900
HongKong/CUHK47134,2015-11-11,,B3,Hong Kong,China,9,6-17y,<18y,<18y,,7/15/2019,,"Wang,H., Tao,K., Tsun,G., Li,T., Tian,Q., Hong,K., Yeung,A., Chen,Z., Chan,P., Leung,T. and Chan,R.",MG739636
HongKong/CUHK63749,2015-12-08,,B3,Hong Kong,China,3,1-5y,<18y,<18y,,7/15/2019,,"Wang,H., Tao,K., Tsun,G., Li,T., Tian,Q., Hong,K., Yeung,A., Chen,Z., Chan,P., Leung,T. and Chan,R.",MG739638
A244-OsakaC-JPN-2015,2015-09-11,,B3,Japan,Japan Korea,0.58,<1y,<18y,<18y,,7/15/2019,,"Kaida,A., Iritani,N., Yamamoto,S.P., Kanbayashi,D., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.",LC107899
A241-OsakaC-JPN-2015,2015-08-07,,B3,Japan,Japan Korea,0.17,<1y,<18y,<18y,,7/15/2019,,"Kaida,A., Iritani,N., Yamamoto,S.P., Kanbayashi,D., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.",LC107898
HongKong/CUHK61194,2015-11-15,,B3,Hong Kong,China,0.08,<1y,<18y,<18y,,7/15/2019,,"Wang,H., Tao,K., Tsun,G., Li,T., Tian,Q., Hong,K., Yeung,A., Chen,Z., Chan,P., Leung,T. and Chan,R.",MG739637
A252-OsakaC-JPN-2015,2015-09-18,,B3,Japan,Japan Korea,0.83,<1y,<18y,<18y,,7/15/2019,,"Kaida,A., Iritani,N., Yamamoto,S.P., Kanbayashi,D., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.",LC107901
HongKong/CUHK12619,2015-10-08,,B3,Hong Kong,China,0.42,<1y,<18y,<18y,,7/15/2019,,"Wang,H., Tao,K., Tsun,G., Li,T., Tian,Q., Hong,K., Yeung,A., Chen,Z., Chan,P., Leung,T. and Chan,R.",MG739633
2016-R5271,2016-09-02 (2016-09-02 - 2016-09-28),,B3,China,China,18,18-64y,18-64y,>=18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341721
2016-R4609,2016-09-01 (2016-08-07 - 2016-09-01),,B3,China,China,,,,,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341715
2016-R4855,2016-08-02 (2016-08-02 - 2016-08-29),,B3,China,China,7,6-17y,<18y,<18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341718
2016-R4010,2016-07-02 (2016-07-02 - 2016-07-28),,B3,China,China,4,1-5y,<18y,<18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341712
2016-R4934,2016-09-01 (2016-08-04 - 2016-09-01),,B3,China,China,6,6-17y,<18y,<18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341720
HongKong/CUHK16709,2015-10-14,,B3,Hong Kong,China,7,6-17y,<18y,<18y,,7/15/2019,,"Wang,H., Tao,K., Tsun,G., Li,T., Tian,Q., Hong,K., Yeung,A., Chen,Z., Chan,P., Leung,T. and Chan,R.",MG739635
HongKong/CUHK09970,2015-10-04,,B3,Hong Kong,China,8,6-17y,<18y,<18y,,7/15/2019,,"Wang,H., Tao,K., Tsun,G., Li,T., Tian,Q., Hong,K., Yeung,A., Chen,Z., Chan,P., Leung,T. and Chan,R.",MG739632
EVD68/SZ01/CHN/2015,2015-11-23 (2015-11-01 - 2015-11-30),,B3,China,China,,,<18y,<18y,,7/15/2019,,"Chen,L., Shi,L., Yang,H., Gu,D.Y., Meng,J., Xu,Y.Q., Yao,X.J., Zhang,H.L., Cheng,J.Q., Ma,H.W., Zhang,R.L. and He,Y.Q.",KU982558
HongKong/CUHK15980,2015-10-13,,B3,Hong Kong,China,9,6-17y,<18y,<18y,,7/15/2019,,"Wang,H., Tao,K., Tsun,G., Li,T., Tian,Q., Hong,K., Yeung,A., Chen,Z., Chan,P., Leung,T. and Chan,R.",MG739634
SMC-15-Sendai830,2015-09-01 (2015-09-01 - 2015-09-26),,B3,Japan,Japan Korea,,,,,,7/15/2019,,"Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.",KX789265
SMC-15-Sendai881,2015-09-01 (2015-09-01 - 2015-09-26),,B3,Japan,Japan Korea,,,,,,7/15/2019,,"Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.",KX789267
SMC-15-Sendai823,2015-09-30 (2015-09-05 - 2015-09-30),,B3,Japan,Japan Korea,,,,,,7/15/2019,,"Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.",KX789264
TU-15-Sendai727,2015-09-30 (2015-09-06 - 2015-09-30),,B3,Japan,Japan Korea,,,,,,7/15/2019,,"Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.",KX789224
TU-15-Sendai728,2015-09-30 (2015-09-07 - 2015-09-30),,B3,Japan,Japan Korea,,,,,,7/15/2019,,"Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.",KX789223
TU-15-Sendai729,2015-09-30 (2015-09-06 - 2015-09-30),,B3,Japan,Japan Korea,,,,,,7/15/2019,,"Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.",KX789222
USA/NY/2016-19505,2016-06-25,,B3,USA,North America,,,,,,7/15/2019,Limb Weakness,"Ng,T.F.F., Montmayeur,A., Castro,C.J., Rogers,S.L., Chern,S.-W., Maher,K., Magana,L., Marine,R., Lamson,D., St. George,K., Oberste,M.S. and Nix,W.A.",KX675262
639-OsakaC-JPN-2015,2015-08-28,,B3,Japan,Japan Korea,3.83,1-5y,<18y,<18y,,7/15/2019,,"Kaida,A., Iritani,N., Yamamoto,S.P., Kanbayashi,D., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.",LC107896
HongKong/CUHK66649,2015-12-13,,B3,Hong Kong,China,5,1-5y,<18y,<18y,,7/15/2019,,"Wang,H., Tao,K., Tsun,G., Li,T., Tian,Q., Hong,K., Yeung,A., Chen,Z., Chan,P., Leung,T. and Chan,R.",MG739639
2016-R4483,2016-09-01 (2016-08-05 - 2016-09-01),,B3,China,China,3,1-5y,<18y,<18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341714
EVD68/SZ02/CHN/2015,2015-11-21 (2015-11-01 - 2015-11-30),,B3,China,China,,,<18y,<18y,,7/15/2019,,"Chen,L., Shi,L., Yang,H., Gu,D.Y., Meng,J., Xu,Y.Q., Yao,X.J., Zhang,H.L., Cheng,J.Q., Ma,H.W., Zhang,R.L. and He,Y.Q.",KU982559
EVD68/SZ03/CHN/2015,2015-11-21 (2015-11-01 - 2015-11-30),,B3,China,China,,,<18y,<18y,,7/15/2019,,"Chen,L., Shi,L., Yang,H., Gu,D.Y., Meng,J., Xu,Y.Q., Yao,X.J., Zhang,H.L., Cheng,J.Q., Ma,H.W., Zhang,R.L. and He,Y.Q.",KU982560
NY234_16,2016-06-09,,B3,USA,North America,,,,,,7/15/2019,,"Wang,G., Zhuge,J., Huang,W., Nolan,S.M., Gilrane,V.L., Yin,C., Dimitrova,N. and Fallon,J.T.",KY385891
Ny59_16,2016-07-30,,B3,USA,North America,,,,,,7/15/2019,,"Huang,W., Yin,C., Zhuge,J., Farooq,T., Yoon,E.C., Sheila,N., Chen,D., Fallon,J.T. and Wang,G.",KX957761
NY149_16,2016-08-21,,B3,USA,North America,,,,,,7/15/2019,,"Wang,G., Zhuge,J., Huang,W., Nolan,S.M., Gilrane,V.L., Yin,C., Dimitrova,N. and Fallon,J.T.",KY385883
NY241_16,2016-06-11,,B3,USA,North America,,,,,,7/15/2019,,"Wang,G., Zhuge,J., Huang,W., Nolan,S.M., Gilrane,V.L., Yin,C., Dimitrova,N. and Fallon,J.T.",KY385892
NY22_16,2016-07-13,,B3,USA,North America,,,,,,7/15/2019,,"Huang,W., Yin,C., Zhuge,J., Farooq,T., Yoon,E.C., Sheila,N., Chen,D., Fallon,J.T. and Wang,G.",KX957755
EV-D68_STL_2016_19,2016-07-10 (2016-01-02 - 2017-01-01),,B3,USA,North America,,,,,,7/15/2019,,"Wylie,K.M., Wylie,T.N. and Storch,G.A.",KY292525
NY151_16,2016-08-21,,B3,USA,North America,,,,,,7/15/2019,,"Wang,G., Zhuge,J., Huang,W., Nolan,S.M., Gilrane,V.L., Yin,C., Dimitrova,N. and Fallon,J.T.",KY385884
2016-R4852,2016-08-02 (2016-08-02 - 2016-08-29),,B3,China,China,5,1-5y,<18y,<18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341717
2016-R4428,2016-09-01 (2016-08-06 - 2016-09-01),,B3,China,China,3,1-5y,<18y,<18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341713
EVD68_SWE_033_160826_NFLG,2016-08-27,,B3,Sweden,Europe,63,18-64y,18-64y,>=18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674143
2016-R4863,2016-09-01 (2016-08-06 - 2016-09-01),,B3,China,China,28,18-64y,18-64y,>=18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341719
EVD68_SWE_052_160908_NFLG,2016-09-09,,B3,Sweden,Europe,1,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674159
EVD68_SWE_054_160907_NFLG,2016-09-08,,B3,Sweden,Europe,3,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674133
EVD68_SWE_009_160911_NFLG,2016-09-12,,B3,Sweden,Europe,8,6-17y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674137
EVD68_SWE_025_160830_NFLG,2016-08-31,,B3,Sweden,Europe,5,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674125
EVD68_SWE_030_160819_NFLG,2016-08-20,,B3,Sweden,Europe,3,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674140
EVD68_SWE_042_160902_NFLG,2016-09-03,,B3,Sweden,Europe,1,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674157
EVD68_SWE_008_160909_NFLG,2016-09-10,,B3,Sweden,Europe,27,18-64y,18-64y,>=18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674136
EVD68_SWE_017_160823_NFLG,2016-08-24,,B3,Sweden,Europe,3,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674118
NY10_16,2016-07-11,,B3,USA,North America,,,,,,7/15/2019,,"Huang,W., Yin,C., Zhuge,J., Farooq,T., Yoon,E.C., Sheila,N., Chen,D., Fallon,J.T. and Wang,G.",KX957754
EVD68_SWE_057_160829_NFLG,2016-08-30,,B3,Sweden,Europe,2,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674144
EVD68_SWE_041_160901_NFLG,2016-09-02,,B3,Sweden,Europe,14,6-17y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674156
EVD68_SWE_020_160825_NFLG,2016-08-26,,B3,Sweden,Europe,20,18-64y,18-64y,>=18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674120
