strain,date,country,division,url,author,accession
G3805,6/15/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233082
G3814,6/15/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233089
G4337.1,7/14/2014,Sierra Leone,Kailahun,,Goba et al,KR105238
G3845.2,6/19/2014,Sierra Leone,Kenema,,Goba et al,KR105201
G4252.1,7/11/2014,Sierra Leone,Kailahun,,Goba et al,KR105224
G4527.2,7/26/2014,Sierra Leone,Kenema,,Goba et al,KR105261
G4133.1,7/4/2014,Sierra Leone,Kailahun,,Goba et al,KR105214
G3950.1,6/24/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105210
G3917.1,6/21/2014,Sierra Leone,Kenema,,Goba et al,KR105207
G4751.1,8/5/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105271
G4200.1,7/8/2014,Sierra Leone,Kenema,,Goba et al,KR105217
G4250.1,7/11/2014,Sierra Leone,Kailahun,,Goba et al,KR105222
G4254.1,7/11/2014,Sierra Leone,Kailahun,,Goba et al,KR105225
G4251.1,7/11/2014,Sierra Leone,Kailahun,,Goba et al,KR105223
G4236.1,7/10/2014,Sierra Leone,Kailahun,,Goba et al,KR105221
G4333.1,7/13/2014,Sierra Leone,Kailahun,,Goba et al,KR105236
G4299.1,7/12/2014,Sierra Leone,Kailahun,,Goba et al,KR105229
V20143466,11/1/2014,Sierra Leone,Kenema,,Whitmer et al A,KR653304
V20142065,10/11/2014,Sierra Leone,Kenema,,Whitmer et al A,KR653274
V20143164,10/27/2014,Sierra Leone,Kenema,,Whitmer et al A,KR653277
J0156,11/7/2014,Sierra Leone,Western Urban,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759698
PL2921,2/3/2015,Sierra Leone,Kambia,,Arias et al,KU296506
KT4801,2/10/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296722
KT2810,12/16/2014,Sierra Leone,Sierra Leone,,Arias et al,KU296778
G4419.1,7/19/2014,Sierra Leone,Kenema,,Goba et al,KR105249
V20140161,8/27/2014,Sierra Leone,Kailahun,,Whitmer et al A,KR653265
G4217.1,7/8/2014,Sierra Leone,Bo,,Goba et al,KR105218
G5879.1,9/22/2014,Sierra Leone,Pujehun,,Goba et al,KR105330
V20141012,9/21/2014,Sierra Leone,Pujehun,,Whitmer et al A,KR653244
V20140100,8/24/2014,Sierra Leone,Pujehun,,Whitmer et al A,KR653241
G6060.1,9/25/2014,Sierra Leone,Pujehun,,Goba et al,KR105342
G6062.1,9/25/2014,Sierra Leone,Pujehun,,Goba et al,KR105343
V20141643,10/4/2014,Sierra Leone,Pujehun,,Whitmer et al A,KR653233
G4190.1,7/7/2014,Sierra Leone,Kailahun,,Goba et al,KR105216
V20142407,10/16/2014,Sierra Leone,Tonkolili,,Whitmer et al A,KR653249
V20142417,10/19/2014,Sierra Leone,Bo,,Whitmer et al A,KR653254
V20143964,11/7/2014,Sierra Leone,Bo,,Whitmer et al A,KR653242
J0051,10/7/2014,Sierra Leone,Western Urban,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759633
KT5022,2/13/2015,Sierra Leone,Western Rural,,Arias et al,KU296519
J0137,11/1/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759685
J0053,10/6/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759721
J0092,10/25/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759650
J0054,10/6/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759722
G6012.1,9/25/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105340
77577_EMLK,1/3/2015,Sierra Leone,Western Urban,,Arias et al,KU296533
77578_EMLK,1/3/2015,Sierra Leone,Western Urban,,Arias et al,KU296806
77588_EMLK,1/4/2015,Sierra Leone,Western Urban,,Arias et al,KU296801
J0099,10/28/2014,Sierra Leone,Kambia,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759764
PL4226,3/2/2015,Sierra Leone,Kambia,,Arias et al,KU296615
PL4763,3/14/2015,Sierra Leone,Kambia,,Arias et al,KU296503
PL4483,3/8/2015,Sierra Leone,Kambia,,Arias et al,KU296389
PL4865,3/16/2015,Sierra Leone,Kambia,,Arias et al,KU296633
PL4864,3/16/2015,Sierra Leone,Kambia,,Arias et al,KU296437
PL4866,3/16/2015,Sierra Leone,Kambia,,Arias et al,KU296390
PL4736,3/13/2015,Sierra Leone,Kambia,,Arias et al,KU296724
PL5025,3/20/2015,Sierra Leone,Kambia,,Arias et al,KU296412
PL5157,3/22/2015,Sierra Leone,Port Loko,,Arias et al,KU296421
PL7626,6/4/2015,Sierra Leone,Port Loko,,Arias et al,KU296753
DML24708,1/28/2015,Sierra Leone,Kono,,Smits et al,KT357845
14743_EML,4/19/2015,Sierra Leone,Kambia,,Arias et al,KU296298
15674_EMLK,6/28/2015,Sierra Leone,Kambia,,Arias et al,KU296843
PL6049,4/11/2015,Sierra Leone,Kambia,,Arias et al,KU296743
15470_EMLK,6/16/2015,Sierra Leone,Kambia,,Arias et al,KU296543
15661_EMLK,6/28/2015,Sierra Leone,Kambia,,Arias et al,KU296822
15323_EMLK,6/7/2015,Sierra Leone,Kambia,,Arias et al,KU296668
15274_EMLK,6/4/2015,Sierra Leone,Kambia,,Arias et al,KU296337
15314_EMLK,6/6/2015,Sierra Leone,Kambia,,Arias et al,KU296600
15686_EMLK,6/30/2015,Sierra Leone,Kambia,,Arias et al,KU296555
15338_EMLK,6/8/2015,Sierra Leone,Kambia,,Arias et al,KU296414
15207R_EMLK,5/29/2015,Sierra Leone,Kambia,,Arias et al,KU296488
15349_EMLK,6/9/2015,Sierra Leone,Kambia,,Arias et al,KU296442
15438R_EMLK,6/14/2015,Sierra Leone,Kambia,,Arias et al,KU296353
KT7095,7/5/2015,Sierra Leone,Kambia,,Arias et al,KU296690
19521_EMLK,7/5/2015,Sierra Leone,Kambia,,Arias et al,KU296306
15421_EMLK,6/13/2015,Sierra Leone,Kambia,,Arias et al,KU296796
19560R_EMLK,7/7/2015,Sierra Leone,Kambia,,Arias et al,KU296580
15543_EMLK,6/22/2015,Sierra Leone,Kambia,,Arias et al,KU296666
20525_EMLK,9/6/2015,Sierra Leone,Kambia,,Arias et al,KU296487
020380_EMLK,8/28/2015,Sierra Leone,Kambia,,Arias et al,KU296775
20547_EMLK,9/7/2015,Sierra Leone,Kambia,,Arias et al,KU296455
020484_EMLK,9/4/2015,Sierra Leone,Kambia,,Arias et al,KU296462
20524_EMLK,9/6/2015,Sierra Leone,Kambia,,Arias et al,KU296424
PL7774,6/8/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296589
15360_EMLK,6/8/2015,Sierra Leone,Kambia,,Arias et al,KU296399
PL7401,5/27/2015,Sierra Leone,Port Loko,,Arias et al,KU296819
PL7834,6/10/2015,Sierra Leone,Port Loko,,Arias et al,KU296326
PL7709,6/6/2015,Sierra Leone,Port Loko,,Arias et al,KU296426
PL7773,6/8/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296417
PL8630,6/29/2015,Sierra Leone,Port Loko,,Arias et al,KU296325
PL8128,6/16/2015,Sierra Leone,Port Loko,,Arias et al,KU296340
15327_EMLK,6/7/2015,Sierra Leone,Kambia,,Arias et al,KU296649
PL8896,7/6/2015,Sierra Leone,Port Loko,,Arias et al,KU296342
PL9192,7/13/2015,Sierra Leone,Port Loko,,Arias et al,KU296401
PL8310,6/21/2015,Sierra Leone,Port Loko,,Arias et al,KU296618
PL8780,7/3/2015,Sierra Leone,Port Loko,,Arias et al,KU296404
PL9199,7/13/2015,Sierra Leone,Port Loko,,Arias et al,KU296371
PL9150,7/12/2015,Sierra Leone,Port Loko,,Arias et al,KU296522
PL7053,5/15/2015,Sierra Leone,Port Loko,,Arias et al,KU296757
PL7678,6/6/2015,Sierra Leone,Port Loko,,Arias et al,KU296625
PL8172,6/18/2015,Sierra Leone,Port Loko,,Arias et al,KU296428
PL8429,6/24/2015,Sierra Leone,Port Loko,,Arias et al,KU296440
PL7947,6/12/2015,Sierra Leone,Port Loko,,Arias et al,KU296571
PL7801,6/9/2015,Sierra Leone,Port Loko,,Arias et al,KU296327
PL7577,6/3/2015,Sierra Leone,Port Loko,,Arias et al,KU296385
PL7511,6/1/2015,Sierra Leone,Port Loko,,Arias et al,KU296685
PL7551,6/2/2015,Sierra Leone,Port Loko,,Arias et al,KU296322
14846_EMLK,4/29/2015,Sierra Leone,Kambia,,Arias et al,KU296831
PL7429,5/29/2015,Sierra Leone,Port Loko,,Arias et al,KU296617
PL7451,5/29/2015,Sierra Leone,Port Loko,,Arias et al,KU296837
PL7792,6/9/2015,Sierra Leone,Port Loko,,Arias et al,KU296793
PL7496,5/31/2015,Sierra Leone,Port Loko,,Arias et al,KU296846
PL7946,6/12/2015,Sierra Leone,Port Loko,,Arias et al,KU296667
PL7820,6/9/2015,Sierra Leone,Port Loko,,Arias et al,KU296804
PL7604,6/4/2015,Sierra Leone,Port Loko,,Arias et al,KU296592
PL7689,6/6/2015,Sierra Leone,Port Loko,,Arias et al,KU296712
PL7685,6/6/2015,Sierra Leone,Port Loko,,Arias et al,KU296556
PL6656,5/1/2015,Sierra Leone,Port Loko,,Arias et al,KU296523
PL7136b,5/18/2015,Sierra Leone,Port Loko,,Arias et al,KU296732
PL7055,5/15/2015,Sierra Leone,Port Loko,,Arias et al,KU296484
15000_EMLK,5/13/2015,Sierra Leone,Kambia,,Arias et al,KU296504
PL7605,6/4/2015,Sierra Leone,Port Loko,,Arias et al,KU296486
PL7376,5/27/2015,Sierra Leone,Port Loko,,Arias et al,KU296740
15373_EMLK,6/10/2015,Sierra Leone,Kambia,,Arias et al,KU296802
PL7775,6/8/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296422
G4416.1,7/18/2014,Sierra Leone,Bo,,Goba et al,KR105248
G4433.1,7/20/2014,Sierra Leone,Kailahun,,Goba et al,KR105254
G5765.1,9/16/2014,Sierra Leone,Moyamba,,Goba et al,KR105326
V20142477,10/19/2014,Sierra Leone,Moyamba,,Whitmer et al A,KR653255
V1211,10/2/2014,Guinea,Dalaba,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534540
V1279,10/4/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534589
G5756.1,9/18/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105324
G5731.1,9/16/2014,Sierra Leone,Moyamba,,Goba et al,KR105320
G5571.1,9/8/2014,Sierra Leone,Kenema,,Goba et al,KR105311
G5844.1,9/21/2014,Sierra Leone,Moyamba,,Goba et al,KR105328
V20141061,9/21/2014,Sierra Leone,Moyamba,,Whitmer et al A,KR653250
V20141043,9/21/2014,Sierra Leone,Moyamba,,Whitmer et al A,KR653305
G5763.1,9/16/2014,Sierra Leone,Moyamba,,Goba et al,KR105325
V20140933,9/16/2014,Sierra Leone,Moyamba,,Whitmer et al A,KR653280
G5737.1,9/16/2014,Sierra Leone,Moyamba,,Goba et al,KR105321
G5767.1,9/16/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105327
G4151.1,7/6/2014,Sierra Leone,Kenema,,Goba et al,KR105215
G4450.1,7/21/2014,Sierra Leone,Kenema,,Goba et al,KR105257
J0113,10/30/2014,Sierra Leone,Western Urban,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759662
J0112,10/31/2014,Sierra Leone,Western Area,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759661
V20140872,9/15/2014,Sierra Leone,Western Urban,,Whitmer et al A,KR653297
G5723.1,9/15/2014,Sierra Leone,Bonthe,,Goba et al,KR105319
MK0384,12/22/2014,Sierra Leone,Bombali,,Arias et al,KU296628
J0089,10/23/2014,Sierra Leone,Western Area,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759758
J0024,9/29/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759663
J0028,10/2/2014,Sierra Leone,Bombali,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759683
MK0889,1/6/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296794
MK0885,1/6/2015,Sierra Leone,Bombali,,Arias et al,KU296758
MK0888,1/6/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296376
J0150,11/6/2014,Sierra Leone,Western Urban,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759696
J0157,11/6/2014,Sierra Leone,Western Urban,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759699
J0039,10/3/2014,Sierra Leone,Port Loko,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759620
J0154,11/7/2014,Sierra Leone,Western Area,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759617
J0159,11/5/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759619
77529_EMLK,12/30/2014,Sierra Leone,Sierra Leone,,Arias et al,KU296477
490_EMLH,1/30/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296746
491_EMLH,1/30/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296588
J0135,11/3/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759602
77524_EMLK,12/30/2014,Sierra Leone,Sierra Leone,,Arias et al,KU296368
75674_EMLH,1/13/2015,Sierra Leone,Western Urban,,Arias et al,KU296350
592_EMLH,2/5/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296447
567_EMLH,2/3/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296427
J0149,11/7/2014,Sierra Leone,Western Urban,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759695
MK1079,1/11/2015,Sierra Leone,Bombali,,Arias et al,KU296815
V20143317,10/29/2014,Sierra Leone,Bombali,,Whitmer et al A,KR653282
J0174,11/11/2014,Sierra Leone,Western Area,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759708
J0171,11/10/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759707
J0144,11/4/2014,Sierra Leone,Kambia,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759605
J0143,11/4/2014,Sierra Leone,Kambia,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759604
J0002,9/27/2014,Sierra Leone,Western Urban,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759640
J0041,10/4/2014,Sierra Leone,Western Area,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759710
361_EMLH,1/21/2015,Sierra Leone,Western Urban,,Arias et al,KU296420
J0016,9/30/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759742
G6103.1,9/28/2014,Sierra Leone,Moyamba,,Goba et al,KR105348
V20141397,9/28/2014,Sierra Leone,Moyamba,,Whitmer et al A,KR653288
G6104.1,9/28/2014,Sierra Leone,Moyamba,,Goba et al,KR105349
V20140174,8/27/2014,Sierra Leone,Western Urban,,Whitmer et al A,KR653294
J0001,9/27/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759636
J0007,9/27/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759631
77601_EMLK,1/5/2015,Sierra Leone,Western Urban,,Arias et al,KU296826
KT2449,12/5/2014,Sierra Leone,Western Urban,,Arias et al,KU296465
J0066,10/10/2014,Sierra Leone,Western Area,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759730
J0050,10/5/2014,Sierra Leone,Western Urban,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759719
J0008,9/29/2014,Sierra Leone,Western Urban,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759718
V20143458,11/1/2014,Sierra Leone,Tonkolili,,Whitmer et al A,KR653245
PL4249,3/3/2015,Sierra Leone,Port Loko,,Arias et al,KU296349
J0134,10/31/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759682
539_EMLH,2/2/2015,Sierra Leone,Western Urban,,Arias et al,KU296823
508_EMLH,1/31/2015,Sierra Leone,Western Urban,,Arias et al,KU296304
PL1387,1/4/2015,Sierra Leone,Port Loko,,Arias et al,KU296434
MK0464,12/24/2014,Sierra Leone,Sierra Leone,,Arias et al,KU296835
MK0867,1/5/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296748
77572_EMLK,1/3/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296508
PL4203,3/2/2015,Sierra Leone,Port Loko,,Arias et al,KU296311
704_EMLH,2/9/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296721
MK0866,1/5/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296497
PL4804,3/15/2015,Sierra Leone,Port Loko,,Arias et al,KU296766
PL4119,2/28/2015,Sierra Leone,Port Loko,,Arias et al,KU296645
PL5674,3/31/2015,Sierra Leone,Port Loko,,Arias et al,KU296699
PL4785,3/14/2015,Sierra Leone,Port Loko,,Arias et al,KU296688
PL4284,3/3/2015,Sierra Leone,Port Loko,,Arias et al,KU296829
PL4813,3/14/2015,Sierra Leone,Port Loko,,Arias et al,KU296798
PL4932,3/18/2015,Sierra Leone,Port Loko,,Arias et al,KU296547
PL4443,3/7/2015,Sierra Leone,Port Loko,,Arias et al,KU296418
PL4886,3/16/2015,Sierra Leone,Port Loko,,Arias et al,KU296461
PL5534,3/29/2015,Sierra Leone,Port Loko,,Arias et al,KU296784
PL5950,4/8/2015,Sierra Leone,Port Loko,,Arias et al,KU296559
G5244.1,8/22/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105301
G6069.1,9/25/2014,Sierra Leone,Kambia,,Goba et al,KR105344
V20141352,9/26/2014,Sierra Leone,Kambia,,Whitmer et al A,KR653284
J0005,9/26/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759628
J0146,11/7/2014,Sierra Leone,Western Urban,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759610
J0147,11/7/2014,Sierra Leone,Western Urban,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759611
J0121,10/29/2014,Sierra Leone,Western Urban,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759669
J0173,11/11/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759627
V20141997,10/10/2014,Sierra Leone,Kono,,Whitmer et al A,KR653293
G6020.1,9/25/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105341
75731_EMLH,1/16/2015,Sierra Leone,Western Urban,,Arias et al,KU296564
MK1040,1/11/2015,Sierra Leone,Bombali,,Arias et al,KU296528
473_EMLH,1/29/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296524
DML24720,1/29/2015,Sierra Leone,Kono,,Smits et al,KT357846
V20146001,11/24/2014,Sierra Leone,Kono,,Whitmer et al A,KR653237
DML24511,1/14/2015,Sierra Leone,Kono,,Smits et al,KT357828
V20144521,11/12/2014,Sierra Leone,Kono,,Whitmer et al A,KR653271
DML24504,1/13/2015,Sierra Leone,Kono,,Smits et al,KT357826
DML24506,1/14/2015,Sierra Leone,Kono,,Smits et al,KT357827
KT4663,2/3/2015,Sierra Leone,Sierra Leone,,Arias et al,KU296570
DML24706,1/28/2015,Sierra Leone,Kono,,Smits et al,KT357844
DML24608,1/20/2015,Sierra Leone,Kono,,Smits et al,KT357838
DML25083,2/18/2015,Sierra Leone,Kono,,Smits et al,KT357852
DML25103,2/19/2015,Sierra Leone,Kono,,Smits et al,KT357853
DML24825,2/4/2015,Sierra Leone,Tonkolili,,Smits et al,KT357849
DML24611,1/21/2015,Sierra Leone,Kono,,Smits et al,KT357839
DML24553,1/17/2015,Sierra Leone,Kono,,Smits et al,KT357830
DML24573,1/18/2015,Sierra Leone,Kono,,Smits et al,KT357831
DML24818,2/3/2015,Sierra Leone,Kono,,Smits et al,KT357848
DML24592,1/20/2015,Sierra Leone,Kono,,Smits et al,KT357833
DML24601,1/20/2015,Sierra Leone,Kono,,Smits et al,KT357834
DML24620,1/21/2015,Sierra Leone,Kono,,Smits et al,KT357840
DML24758,1/30/2015,Sierra Leone,Kono,,Smits et al,KT357847
DML25123,2/18/2015,Sierra Leone,Kenema,,Smits et al,KT357854
DML24669,1/25/2015,Sierra Leone,Kono,,Smits et al,KT357841
DML24502,1/13/2015,Sierra Leone,Kono,,Smits et al,KT357825
DML24581,1/19/2015,Sierra Leone,Kono,,Smits et al,KT357832
DML24552,1/17/2015,Sierra Leone,Kono,,Smits et al,KT357829
DML24683,1/26/2015,Sierra Leone,Kono,,Smits et al,KT357843
DML24606,1/20/2015,Sierra Leone,Kono,,Smits et al,KT357837
DML24605,1/20/2015,Sierra Leone,Kono,,Smits et al,KT357836
DML24604,1/20/2015,Sierra Leone,Kono,,Smits et al,KT357835
DML24677,1/25/2015,Sierra Leone,Kono,,Smits et al,KT357842
DML24854,2/6/2015,Sierra Leone,Kono,,Smits et al,KT357851
DML24853,2/6/2015,Sierra Leone,Kono,,Smits et al,KT357850
G4255.1,7/11/2014,Sierra Leone,Kailahun,,Goba et al,KR105226
G4683.1,8/1/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105262
G4263.1,7/11/2014,Sierra Leone,Kenema,,Goba et al,KR105227
G4466.1,7/22/2014,Sierra Leone,Bo,,Goba et al,KR105260
V507,7/24/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534586
V20140489,9/4/2014,Sierra Leone,Kenema,,Whitmer et al A,KR653235
77591_EMLK,1/4/2015,Sierra Leone,Western Urban,,Arias et al,KU296836
G3913.1,6/21/2014,Sierra Leone,Kenema,,Goba et al,KR105206
G3886.1,6/19/2014,Sierra Leone,Kenema,,Goba et al,KR105204
G4334.1,7/14/2014,Sierra Leone,Kenema,,Goba et al,KR105237
G4132.1,7/5/2014,Sierra Leone,Kenema,,Goba et al,KR105213
G4730.1,8/5/2014,Sierra Leone,Kenema,,Goba et al,KR105268
G4736.1,8/5/2014,Sierra Leone,Kenema,,Goba et al,KR105269
G4717.1,8/4/2014,Sierra Leone,Kenema,,Goba et al,KR105266
G4454.1,7/21/2014,Sierra Leone,Kailahun,,Goba et al,KR105258
G4424.1,7/19/2014,Sierra Leone,Kailahun,,Goba et al,KR105252
G5039.1,8/17/2014,Sierra Leone,Kenema,,Goba et al,KR105295
G4329.1,7/14/2014,Sierra Leone,Kailahun,,Goba et al,KR105235
G4323.2,7/14/2014,Sierra Leone,Kenema,,Goba et al,KR105232
G4698.1,8/3/2014,Sierra Leone,Kenema,,Goba et al,KR105263
Makona-201403147,9/13/2014,Sierra Leone,Sierra Leone,,Whitmer et al B,KP240931
G4981.1,8/14/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105287
G4982.1,8/14/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105288
G4994.1,8/15/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105289
J0088,10/20/2014,Sierra Leone,Port Loko,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759648
J0165,11/8/2014,Sierra Leone,Western Urban,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759703
J0079,10/16/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759748
J0003,9/28/2014,Sierra Leone,Port Loko,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759651
J0168,11/11/2014,Sierra Leone,Western Area,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759705
J0141,11/4/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759689
J0032,9/30/2014,Sierra Leone,Port Loko,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759691
G4955.1,8/13/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105281
G5985.1,9/25/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105334
J0085,10/17/2014,Sierra Leone,Port Loko,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759645
V20144865,11/13/2014,Sierra Leone,Port Loko,,Whitmer et al A,KR653231
J0101,10/29/2014,Sierra Leone,Port Loko,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759656
V20141282,9/23/2014,Sierra Leone,Kambia,,Whitmer et al A,KR653229
J0038,9/30/2014,Sierra Leone,Port Loko,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759618
J0104,10/29/2014,Sierra Leone,Port Loko,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759765
J0105,10/29/2014,Sierra Leone,Port Loko,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759766
J0103,10/29/2014,Sierra Leone,Port Loko,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759658
G5738.1,9/15/2014,Sierra Leone,Moyamba,,Goba et al,KR105322
V20140091,8/22/2014,Sierra Leone,Western Rural,,Whitmer et al A,KR653239
G5516.1,9/4/2014,Sierra Leone,Moyamba,,Goba et al,KR105307
J0118,10/31/2014,Sierra Leone,Western Rural,,Tong et al A (https://www.ncbi.nlm.nih.gov/pubmed/25970247),KP759598
G5853.1,9/21/2014,Sierra Leone,Moyamba,,Goba et al,KR105329
V955,9/11/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534524
V20141491,10/1/2014,Sierra Leone,Kambia,,Whitmer et al A,KR653289
V684,8/20/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534517
G4999.1,8/15/2014,Sierra Leone,Kenema,,Goba et al,KR105291
G5691.1,9/14/2014,Sierra Leone,Kenema,,Goba et al,KR105318
V20140436,9/3/2014,Sierra Leone,Moyamba,,Whitmer et al A,KR653287
G5520.1,9/5/2014,Sierra Leone,Kenema,,Goba et al,KR105308
G5617.1,9/10/2014,Sierra Leone,Kenema,,Goba et al,KR105312
G5064.1,8/17/2014,Sierra Leone,Moyamba,,Goba et al,KR105297
V989,9/15/2014,Guinea,Forecariah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534526
G4725.1,8/4/2014,Sierra Leone,Moyamba,,Goba et al,KR105267
V1069,9/21/2014,Guinea,Forecariah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534531
V1039,9/19/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534578
V1567,10/18/2014,Guinea,Forecariah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534564
