strain,date,S1_mutations,clade_membership,country,current_frequency,division,emerging_lineage,epiweek,accession,host,mutational_fitness,pango_lineage,recency,region,url,author,originating_lab,submitting_lab,logistic_growth
BRA/RJ-DCV3/2020,7/20/2020,1,20A,Brazil,,Brazil,20A,202030,MT827872,Homo sapiens,0.03,B.1,Older,South America,,Souza et al D,,,
BRA/RJ-DCV05/2020,7/20/2020,1,20A,Brazil,,Brazil,20A,202030,MT827075,Homo sapiens,0.03,B.1,Older,South America,,Souza et al E,,,
LR992093,4/14/2020,1,20A,Italy,,Apulia,20A,202016,LR992093,Homo sapiens,0.03,B.1,Older,Europe,,Chiara et al,"Istituto Zooprofilattico Sperimentale Puglia e Basilicata; Dipartimento di Bioscienze, Biotecnologie e Biofarmaceutica dell’Università degli Studi di Bari “A.Moro”; Istituto di Biomembrane. Bioenergetica e Biotecnologie Molecolari del Consiglio Nazionale delle Ricerche di Bari",UNIVERSITY OF MILAN. DEPT. OF BIOSCIENCES,
UGA/MUWRP-GUL200079S/2020,9/27/2020,1,20A,Uganda,,Uganda,20A,202040,OM811371,Homo sapiens,0.04,B.1.393,3-7 days ago,Africa,,Byarugaba et al C,,,
UGA/MUWRP-KIR200049S/2020,8/28/2020,1,20A,Uganda,,Uganda,20A,202035,OM811378,Homo sapiens,0.03,B.1.393,3-7 days ago,Africa,,Byarugaba et al D,,,
UGA/MAKCHScov7/2021,2/19/2021,2,20A,Uganda,,Uganda,20A,202107,MZ287361,Homo sapiens,0.03,B.1.393,Older,Africa,,Mwesigwa et al C,,,
CAN/Kappa_NML_P4/2021,7/30/2021,7,21B (Kappa),Canada,,Canada,21B (Kappa),202130,OM366054,Homo sapiens,0.34,B.1.617.1,Older,North America,,Audet et al,,,
OV105128,4/19/2021,6,21B (Kappa),Slovakia,,Slovakia,21B (Kappa),202116,OV105128,Homo sapiens,0.43,B.1.617.1,Older,Europe,,? N,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia",Public Health Authority of the Slovak Republic,
MAR/CNRST-IND2-2021/2021,4/22/2021,7,21B (Kappa),Morocco,,Morocco,21B (Kappa),202116,MZ571142,Homo sapiens,0.41,B.1.617.1,Older,Africa,,melloul et al,,,
MMR/DSMRC019/2021,6/2/2021,8,21B (Kappa),Myanmar,,Myanmar,21B (Kappa),202122,MZ397175,Homo sapiens,0.4,B.1.617.1,Older,Asia,,Oo et al A,,,
MMR/DSMRC020/2021,6/2/2021,8,21B (Kappa),Myanmar,,Myanmar,21B (Kappa),202122,MZ397176,Homo sapiens,0.4,B.1.617.1,Older,Asia,,Oo et al B,,,
UZB/UZB-376/2021,6/25/2021,8,20A,Uzbekistan,,Tashkent,21A (Delta),202125,MZ573384,Homo sapiens,0.56,B.1,Older,Asia,,Abdullaev et al A,,,
USA/AL-CDC-ASC210075538/2021,4/19/2021,6,21A (Delta),USA,,Alabama,21A (Delta),202116,MZ185411,Homo sapiens,0.62,B.1.617.2,Older,North America,,Howard et al DN,,,
MNG/10011757/2021,4/24/2021,8,21A (Delta),Mongolia,,Mongolia,21A (Delta),202116,OM190671,Homo sapiens,0.62,B.1.617.2,Older,Asia,,Enkhbat et al B,,,
MMR/Mandalay-dsmrc-023/2021,6/25/2021,7,21A (Delta),Myanmar,,Myanmar,21A (Delta),202125,OK668273,Homo sapiens,0.66,B.1.617.2,Older,Asia,,Oo et al C,,,
MMR/Taungoo-dsmrc-035/2021,7/5/2021,7,21A (Delta),Myanmar,,Myanmar,21A (Delta),202127,OK668274,Homo sapiens,0.66,B.1.617.2,Older,Asia,,Oo et al D,,,
GAB/24141-5C_Gabon/2021,8/30/2021,8,21A (Delta),Gabon,,Gabon,21A (Delta),202135,OM732151,Homo sapiens,0.65,AY.40,One week ago,Africa,,Lekana-Douki et al K,,,
MWI/MLW00219/2021,4/7/2021,9,21A (Delta),Malawi,,Malawi,21A (Delta),202114,OL779149,Homo sapiens,0.64,B.1.617.2,Older,Africa,,Ashton et al B,,,
SLE/SL41/2021,6/7/2021,8,21A (Delta),Sierra Leone,,Sierra Leone,21A (Delta),202123,MZ854399,Homo sapiens,0.68,B.1.617.2,Older,Africa,,Wurie et al C,,,
MMR/Sittwe-dsmrc-031/2021,8/25/2021,7,21A (Delta),Myanmar,,Myanmar,21A (Delta),202134,OK668281,Homo sapiens,0.67,AY.30,Older,Asia,,Oo et al E,,,
NZL/21MV0410/2021,5/4/2021,8,21A (Delta),New Zealand,,New Zealand,21A (Delta),202118,OK433746,Homo sapiens,0.76,B.1.617.2,Older,Oceania,,Ren et al BM,LabPLUS,Institute of Environmental Science and Research,
IND/GBRC577a/2021,3/22/2021,8,21A (Delta),India,,India,21A (Delta),202112,MZ314977,Homo sapiens,0.72,B.1.617.2,Older,Asia,,Saiyed et al B,,,
ROU/412085/2021,4/26/2021,6,21A (Delta),Romania,,Romania,21A (Delta),202117,MZ068219,Homo sapiens,0.67,B.1.617.2,Older,Europe,,Fejer et al,,,
Switzerland/SZ-ETHZ-34605862/2021,10/30/2021,8,21A (Delta),Switzerland,,Schwyz,21A (Delta),202143,OV041902,Homo sapiens,0.75,AY.51,Older,Europe,,? BL,"Viollier AG; Hagmattstrasse 14, 4123 Allschwil",ETH ZURICH D-BSSE,
MYS/M_C15737/2021,12/12/2021,8,21A (Delta),Malaysia,,Malaysia,21A (Delta),202150,OM319615,Homo sapiens,0.73,B.1.617.2,Older,Asia,,Chan et al E,,,
Denmark/DCGC-133558/2021,7/20/2021,8,21A (Delta),Denmark,,Hovedstaden,21A (Delta),202129,OV833119,Homo sapiens,0.71,B.1.617.2,One month ago,Europe,,Danish Covid-19 Genome et al,"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark",statens serum institut and the danish covid19 genome consortium (dcgc),
KEN/SS4147/2021,11/11/2021,8,21A (Delta),Kenya,,Kenya,21A (Delta),202145,OL913039,Homo sapiens,0.69,B.1.617.2,Older,Africa,,Githinji et al AB,,,
USA/WY-CDC-ASC210427922/2021,11/17/2021,8,21A (Delta),USA,,Wyoming,21A (Delta),202146,OL777576,Homo sapiens,0.74,AY.14,Older,North America,,Howard et al DO,Aegis Sciences Corporation,CDC-OAMD,
BHR/21921836726_S18_L001/2021,11/6/2021,7,21A (Delta),Bahrain,,Bahrain,21A (Delta),202144,OL441410,Homo sapiens,0.74,AY.39,Older,Asia,,Alwasti et al CK,,,
DJI/NAMRU3_C775/2021,8/25/2021,8,21A (Delta),Djibouti,,Djibouti,21A (Delta),202134,OL640779,Homo sapiens,0.72,B.1.617.2,Older,Africa,,Arnold et al P,,,
KEN/SS4383/2021,11/29/2021,8,21A (Delta),Kenya,,Kenya,21A (Delta),202148,OM141146,Homo sapiens,0.72,AY.16,Older,Africa,,Githinji et al AC,,,
KEN/SS4126/2021,10/29/2021,10,21A (Delta),Kenya,,Kenya,21A (Delta),202143,OL739875,Homo sapiens,0.75,AY.16,Older,Africa,,Githinji et al AD,,,
KEN/C110949/2021,10/28/2021,9,21A (Delta),Kenya,,Kenya,21A (Delta),202143,OL454623,Homo sapiens,0.74,AY.16,Older,Africa,,Githinji et al AE,,,
KEN/SS4925/2021,11/30/2021,9,21A (Delta),Kenya,,Kenya,21A (Delta),202148,OM141475,Homo sapiens,0.7,AY.16,Older,Africa,,Githinji et al AF,,,
KEN/SS4136/2021,10/26/2021,8,21A (Delta),Kenya,,Kenya,21A (Delta),202143,OL913032,Homo sapiens,0.73,AY.16,Older,Africa,,Githinji et al AG,,,
KEN/SS4160/2021,11/15/2021,8,21A (Delta),Kenya,,Kenya,21A (Delta),202146,OL913048,Homo sapiens,0.77,AY.16,Older,Africa,,Githinji et al AH,,,
UZB/hCoV-19-Uzb-CGB-38/2021,7/23/2021,9,21I (Delta),Uzbekistan,,Tashkent,21I (Delta),202129,MZ892624,Homo sapiens,0.73,AY.127,Older,Asia,,Ayubov et al A,,,
NZL/21CV0213/2021,7/12/2021,9,21I (Delta),New Zealand,,New Zealand,21I (Delta),202128,OK433656,Homo sapiens,0.75,AY.24,Older,Oceania,,Ren et al BN,Wellington SCL (WN),Institute of Environmental Science and Research,
MWI/MLW00203/2021,1/7/2021,9,21I (Delta),Malawi,,Malawi,21I (Delta),202101,OL779133,Homo sapiens,0.75,AY.75,Older,Africa,,Ashton et al C,,,
MWI/MLW00147/2021,7/2/2021,9,21I (Delta),Malawi,,Malawi,21I (Delta),202126,OL779086,Homo sapiens,0.74,B.1.617.2,Older,Africa,,Ashton et al D,,,
BHR/21921852676_S80_L001/2021,11/11/2021,10,21I (Delta),Bahrain,,Bahrain,21I (Delta),202145,OL441388,Homo sapiens,0.76,AY.11,Older,Asia,,Alwasti et al CL,,,
OU819891,7/20/2021,8,21I (Delta),Slovakia,,Slovakia,21I (Delta),202129,OU819891,Homo sapiens,0.71,AY.68,Older,Europe,,? N,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia",Public Health Authority of the Slovak Republic,
OV109619,10/27/2021,10,21I (Delta),Slovakia,,Slovakia,21I (Delta),202143,OV109619,Homo sapiens,0.79,AY.68,Older,Europe,,? N,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
IND/INSACOG-GBRC950/2021,5/19/2021,10,21I (Delta),India,,India,21I (Delta),202120,MZ900939,Homo sapiens,0.68,B.1.617.2,Older,Asia,,Pandit et al B,,,
Switzerland/ZH-ETHZ-35242237/2021,12/13/2021,9,21I (Delta),Switzerland,,Zürich,21I (Delta),202150,OV395766,Homo sapiens,0.9,AY.73,Older,Europe,,? BM,"Viollier AG; Hagmattstrasse 14, 4123 Allschwil",ETH ZURICH D-BSSE,
SouthAfrica/NHLS-UCT-GP-M449/2021,11/12/2021,10,21I (Delta),South Africa,,South Africa,21I (Delta),202145,OM725148,Homo sapiens,0.81,AY.38,One week ago,Africa,,Tegally et al AX,,,
SouthAfrica/NHLS-UCT-GP-M489/2021,11/12/2021,10,21I (Delta),South Africa,,South Africa,21I (Delta),202145,OM725149,Homo sapiens,0.81,AY.38,One week ago,Africa,,Tegally et al AY,,,
BHR/90027405/2021,8/11/2021,8,21I (Delta),Bahrain,,Bahrain,21I (Delta),202132,MZ914444,Homo sapiens,0.76,AY.61,Older,Asia,,Alwasti et al CM,,,
USA/NV-CDC-LC0144814/2021,7/19/2021,10,21I (Delta),USA,,Nevada,21I (Delta),202129,MZ865968,Homo sapiens,0.74,AY.67,Older,North America,,Howard et al DP,,,
MMR/DSMRC011/2021,5/28/2021,10,21I (Delta),Myanmar,,Myanmar,21I (Delta),202121,MZ397171,Homo sapiens,0.7,B.1.617.2,Older,Asia,,Oo et al F,,,
MMR/DSMRC041/2021,11/8/2021,8,21I (Delta),Myanmar,,Myanmar,21I (Delta),202145,OL757803,Homo sapiens,0.8,AY.60,Older,Asia,,Oo et al G,,,
MMR/DSMRC042/2021,11/8/2021,8,21I (Delta),Myanmar,,Myanmar,21I (Delta),202145,OL757807,Homo sapiens,0.8,AY.60,Older,Asia,,Oo et al H,,,
MMR/DSMRC044/2021,12/1/2021,9,21I (Delta),Myanmar,,Myanmar,21I (Delta),202148,OL757802,Homo sapiens,0.85,AY.60,Older,Asia,,Oo et al I,,,
MMR/DSMRC053/2021,12/3/2021,11,21I (Delta),Myanmar,,Myanmar,21I (Delta),202148,OL757808,Homo sapiens,0.87,AY.60,Older,Asia,,Oo et al J,,,
MMR/DSMRC052/2021,12/3/2021,11,21I (Delta),Myanmar,,Myanmar,21I (Delta),202148,OL757811,Homo sapiens,0.87,AY.60,Older,Asia,,Oo et al K,,,
USA/ME-CDC-ASC210609357/2021,12/10/2021,10,21I (Delta),USA,,Maine,21I (Delta),202149,OM034631,Homo sapiens,0.77,AY.47,Older,North America,,Howard et al DQ,Aegis Sciences Corporation,CDC-OAMD,
USA/KY-CDC-LC0354813/2021,10/23/2021,10,21I (Delta),USA,,Kentucky,21I (Delta),202142,OL485827,Homo sapiens,0.78,AY.47,Older,North America,,Howard et al DR,,,
USA/CO-CDC-MMB11842301/2021,11/26/2021,10,21I (Delta),USA,,Colorado,21I (Delta),202147,OM011667,Homo sapiens,0.78,AY.47,Older,North America,,Howard et al DS,Mako Medical,CDC-OAMD,
Denmark/DCGC-180992/2021,10/7/2021,9,21I (Delta),Denmark,,Nordjylland,21I (Delta),202140,OV827467,Homo sapiens,0.85,AY.9.2,One month ago,Europe,,Danish Covid-19 Genome et al,"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark",statens serum institut and the danish covid19 genome consortium (dcgc),
Switzerland/GE-HUG-35922212/2021,10/30/2021,8,21I (Delta),Switzerland,,Geneva,21I (Delta),202143,OV064752,Homo sapiens,0.82,AY.9.2,Older,Europe,,? BN,"GENEVE MGD LABO, Geneva, Switzerland",HUG,
SWE/000200117338/2021,8/10/2021,9,21I (Delta),Sweden,,Sweden,21I (Delta),202132,MZ846201,Homo sapiens,0.85,AY.9.2,Older,Europe,,Andersson et al A,,,
SWE/000200118629/2021,8/10/2021,9,21I (Delta),Sweden,,Sweden,21I (Delta),202132,MZ848129,Homo sapiens,0.89,AY.9.2,Older,Europe,,Andersson et al B,,,
ESP/Rota_33/2021,7/29/2021,9,21I (Delta),Spain,,Andalusia,21I (Delta),202130,MZ970713,Homo sapiens,0.8,AY.9.2,Older,Europe,,Voegtly et al DK,,,
ESP/Rota_44/2021,7/29/2021,9,21I (Delta),Spain,,Andalusia,21I (Delta),202130,MZ970715,Homo sapiens,0.8,AY.9.2,Older,Europe,,Voegtly et al DL,,,
NOR/4/2021,12/1/2021,9,21I (Delta),Norway,,Norway,21I (Delta),202148,OM401995,Homo sapiens,0.8,AY.9.2,Older,Europe,,Brokstad et al,,,
Denmark/DCGC-169273/2021,9/4/2021,9,21I (Delta),Denmark,,Syddanmark,21I (Delta),202135,OV830155,Homo sapiens,0.8,AY.9.2,One month ago,Europe,,Danish Covid-19 Genome et al,"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark",statens serum institut and the danish covid19 genome consortium (dcgc),
Cat/ESP/B.1.617.2/2021,10/3/2021,11,21I (Delta),Spain,,Spain,21I (Delta),202140,OL336792,Felis catus,0.8,AY.9.2,Older,Europe,,Barroso-Arevalo et al B,,,
OV806007,1/17/2022,8,21I (Delta),Slovakia,0,Slovakia,21I (Delta),202203,OV806007,Homo sapiens,0.79,AY.9.2,One month ago,Europe,,? N,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia",Regional Authority of Public Health Banska Bystrica,-16.17
OV077686,10/31/2021,8,21I (Delta),Slovakia,,Slovakia,21I (Delta),202144,OV077686,Homo sapiens,0.8,AY.9.2,Older,Europe,,? N,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia",Public Health Authority of the Slovak Republic,
MYS/M_C15393/2021,11/28/2021,9,21I (Delta),Malaysia,,Malaysia,21I (Delta),202148,OM319602,Homo sapiens,0.73,AY.59,Older,Asia,,Chan et al F,,,
MYS/M_C15462/2021,11/30/2021,9,21I (Delta),Malaysia,,Malaysia,21I (Delta),202148,OM214021,Homo sapiens,0.73,AY.59,Older,Asia,,Chan et al G,,,
MMR/DSMRC051/2021,12/4/2021,9,21I (Delta),Myanmar,,Myanmar,21I (Delta),202148,OL757806,Homo sapiens,0.8,AY.59,Older,Asia,,Oo et al L,,,
MMR/DSMRC050/2021,12/4/2021,9,21I (Delta),Myanmar,,Myanmar,21I (Delta),202148,OL757812,Homo sapiens,0.8,AY.59,Older,Asia,,Oo et al M,,,
MYS/M_C15389/2021,11/28/2021,10,21I (Delta),Malaysia,,Malaysia,21I (Delta),202148,OM319617,Homo sapiens,0.77,AY.59,Older,Asia,,Chan et al H,,,
MYS/M_C15666/2021,12/7/2021,10,21I (Delta),Malaysia,,Malaysia,21I (Delta),202149,OM319614,Homo sapiens,0.75,B.1.617.2,Older,Asia,,Chan et al I,,,
MYS/M_C15392/2021,11/28/2021,9,21I (Delta),Malaysia,,Malaysia,21I (Delta),202148,OM319613,Homo sapiens,0.76,AY.59,Older,Asia,,Chan et al J,,,
MYS/M_C15447/2021,11/29/2021,9,21I (Delta),Malaysia,,Malaysia,21I (Delta),202148,OM319612,Homo sapiens,0.76,AY.59,Older,Asia,,Chan et al K,,,
MYS/M_C15459/2021,11/29/2021,9,21I (Delta),Malaysia,,Malaysia,21I (Delta),202148,OM214020,Homo sapiens,0.76,AY.59,Older,Asia,,Chan et al L,,,
MYS/M_C15831/2021,12/19/2021,9,21I (Delta),Malaysia,,Malaysia,21I (Delta),202151,OM319598,Homo sapiens,0.76,AY.59,Older,Asia,,Chan et al M,,,
MYS/M_C15849/2021,12/20/2021,9,21I (Delta),Malaysia,,Malaysia,21I (Delta),202151,OM319600,Homo sapiens,0.76,AY.59,Older,Asia,,Chan et al N,,,
MYS/M_C15867/2021,12/21/2021,9,21I (Delta),Malaysia,0,Malaysia,21I (Delta),202151,OM319599,Homo sapiens,0.76,AY.59,Older,Asia,,Chan et al O,,,
MYS/M_C15851/2021,12/20/2021,9,21I (Delta),Malaysia,,Malaysia,21I (Delta),202151,OM319601,Homo sapiens,0.76,AY.59,Older,Asia,,Chan et al P,,,
Denmark/DCGC-233665/2021,11/17/2021,10,21I (Delta),Denmark,,Sjaelland,21I (Delta),202146,OV853748,Homo sapiens,0.77,B.1.617.2,One month ago,Europe,,Danish Covid-19 Genome et al,"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark",statens serum institut and the danish covid19 genome consortium (dcgc),
CAN/KB-D-002/2021,12/28/2021,9,21I (Delta),Canada,0,Saskatchewan,21I (Delta),202152,OM131551,Homo sapiens,0.76,B.1.617.2,Older,North America,,Banerjee et al,Arinjay Banerjee,Sunnybrook/Shared Hospital Laboratory,-16.17
SouthAfrica/NHLS-UCT-GS-AF02/2021,11/4/2021,9,21I (Delta),South Africa,,South Africa,21I (Delta),202144,OM739884,Homo sapiens,0.76,AY.26,One week ago,Africa,,Viana et al BC,,,
USA/IA-CDC-ASC210478565/2021,10/25/2021,10,21I (Delta),USA,,Iowa,21I (Delta),202143,OL509896,Homo sapiens,0.79,AY.26,Older,North America,,Howard et al DT,Aegis Sciences Corporation,CDC-OAMD,
USA/VT-CDCBI-CRSP_53PCPKKJG6VDMF6Q/2021,7/27/2021,9,21I (Delta),USA,,Vermont,21I (Delta),202130,MZ709967,Homo sapiens,0.79,AY.26,Older,North America,,Lemieux et al J,Broad Institute Clinical Research Sequencing Platform,Broad Institute Genomic Center for Infectious Diseases,
USA/IL-CDC-QDX30610269/2021,10/30/2021,9,21I (Delta),USA,,Illinois,21I (Delta),202143,OL493433,Homo sapiens,0.77,AY.26,Older,North America,,Howard et al DU,Quest Diagnostics Incorporated,CDC-OAMD,
OV229549,11/8/2021,9,21I (Delta),Germany,,Baden-Wuerttemberg,21I (Delta),202145,OV229549,Homo sapiens,0.83,AY.26,Older,Europe,,? A,"Eurofins LifeCodexx GmbH, Line-Eid-Strasse 3; 78467 Konstanz",Robert Koch Institute,
Mexico/BCN-SEARCH-106722/2021,7/6/2021,9,21I (Delta),Mexico,,Baja California,21I (Delta),202127,OK551755,Homo sapiens,0.77,AY.26,Older,North America,,Andersen et al B,"SEARCH Alliance San Diego with Abraham Campos Romero, Miguel A. Fernandez Rojas, Marco Antonio Luna Ruiz-Esparza, Jose Luis Moreno Camacho, Abraham Garcia Gil with the help of Salud Digna, A.C",SEARCH Alliance San Diego,
OV078023,10/25/2021,8,21I (Delta),Slovakia,,Slovakia,21I (Delta),202143,OV078023,Homo sapiens,0.78,AY.26,Older,Europe,,? N,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia",Public Health Authority of the Slovak Republic,
OV104485,10/25/2021,8,21I (Delta),Slovakia,,Slovakia,21I (Delta),202143,OV104485,Homo sapiens,0.78,AY.26,Older,Europe,,? N,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
BHR/890184623/2021,5/21/2021,8,21I (Delta),Bahrain,,Bahrain,21I (Delta),202120,MZ496742,Homo sapiens,0.75,AY.65,Older,Asia,,Alwasti et al CN,,,
BHR/21921775696/2021,10/25/2021,8,21I (Delta),Bahrain,,Bahrain,21I (Delta),202143,OL305041,Homo sapiens,0.78,AY.65,Older,Asia,,Alwasti et al CO,,,
BHR/21921778038_S11_L001/2021,10/26/2021,8,21I (Delta),Bahrain,,Bahrain,21I (Delta),202143,OL321666,Homo sapiens,0.79,AY.65,Older,Asia,,Alwasti et al CP,,,
BHR/21921808002/2021,10/30/2021,9,21I (Delta),Bahrain,,Bahrain,21I (Delta),202143,OL336675,Homo sapiens,0.79,AY.65,Older,Asia,,Alwasti et al CQ,,,
BHR/21921738940_S88_L001/2021,10/26/2021,8,21I (Delta),Bahrain,,Bahrain,21I (Delta),202143,OL321659,Homo sapiens,0.79,AY.65,Older,Asia,,Alwasti et al CR,,,
BHR/21921620738/2021,9/30/2021,8,21I (Delta),Bahrain,,Bahrain,21I (Delta),202139,OK376328,Homo sapiens,0.8,AY.65,Older,Asia,,Alwasti et al CS,,,
BHR/21510256511_S91_L001/2021,10/26/2021,8,21I (Delta),Bahrain,,Bahrain,21I (Delta),202143,OL321654,Homo sapiens,0.8,AY.65,Older,Asia,,Alwasti et al CT,,,
KEN/C111008/2021,10/29/2021,9,21A (Delta),Kenya,,Kenya,21A (Delta),202143,OL454624,Homo sapiens,0.66,AY.46.4,Older,Africa,,Githinji et al AI,,,
USA/19191090/2021,7/21/2021,7,21A (Delta),USA,,Illinois,21A (Delta),202129,OK594462,Homo sapiens,0.76,AY.103,Older,North America,,Kadkol et al,"Molecular Pathology Laboratory, Univ. of Illinois at Chicago","Igenbio, Inc",
USA/CO-CDC-MMB13847755/2022,1/24/2022,9,21A (Delta),USA,0,Colorado,21A (Delta),202204,OM768453,Homo sapiens,0.82,AY.103,3-7 days ago,North America,,Howard et al DV,Mako Medical,CDC-OAMD,-14.59
USA/NE-CDC-2-4567667/2021,6/8/2021,8,21J (Delta),USA,,Nebraska,21J (Delta),202123,MZ511593,Homo sapiens,0.83,AY.103,Older,North America,,Sheth et al S,,,
USA/WV-CDC-LC0385164/2021,11/12/2021,8,21J (Delta),USA,,West Virginia,21J (Delta),202145,OL683219,Homo sapiens,0.83,AY.103,Older,North America,,Howard et al DW,Laboratory Corporation of America,CDC-OAMD,
JAM/202112006/2021,10/28/2021,9,21J (Delta),Jamaica,,Jamaica,21J (Delta),202143,OM320377,Homo sapiens,0.82,AY.103,Older,North America,,Lewis et al A,,,
USA/MI-CDC-STM-AF5GT35TN/2021,10/27/2021,8,21J (Delta),USA,,Michigan,21J (Delta),202143,OL506049,Homo sapiens,0.79,AY.103,Older,North America,,Howard et al DX,'Helix',CDC-OAMD,
PLW/PW-CDC-2-5064293/2021,8/20/2021,10,21J (Delta),Palau,,Palau,21J (Delta),202133,OL607066,Homo sapiens,0.82,AY.103,Older,Oceania,,Sheth et al T,Belau National Hospital,CDC DVD Genomics and DIscovery Team,
USA/CA-CDC-FG-147004/2021,10/9/2021,9,21J (Delta),USA,,California,21J (Delta),202140,OK544397,Homo sapiens,0.81,AY.103,Older,North America,,Howard et al DY,,,
USA/NH-CDC-ASC210086641/2021,9/21/2021,7,21J (Delta),USA,,New Hampshire,21J (Delta),202138,OK603601,Homo sapiens,0.84,AY.103,Older,North America,,Howard et al DZ,,,
USA/ME-CDC-QDX30567834/2021,10/28/2021,8,21J (Delta),USA,,Maine,21J (Delta),202143,OL504122,Homo sapiens,0.83,AY.103,Older,North America,,Howard et al EA,Quest Diagnostics Incorporated,CDC-OAMD,
USA/MS-CDC-ASC210248295/2021,7/26/2021,9,21J (Delta),USA,,Mississippi,21J (Delta),202130,MZ977691,Homo sapiens,0.86,AY.103,Older,North America,,Howard et al EB,,,
USA/AS-CDC-2-5343436/2021,11/4/2021,10,21J (Delta),USA,,American Samoa,21J (Delta),202144,OM258737,Homo sapiens,0.83,AY.103,Older,North America,,Sheth et al U,Tafuna Health Center,CDC DVD Genomics and DIscovery Team,
USA/MT-CDC-ASC210394820/2021,11/10/2021,8,21J (Delta),USA,,Montana,21J (Delta),202145,OL785987,Homo sapiens,0.83,AY.103,Older,North America,,Howard et al EC,Aegis Sciences Corporation,CDC-OAMD,
USA/NJ-CDC-LC0373522/2021,11/10/2021,9,21J (Delta),USA,,New Jersey,21J (Delta),202145,OL645623,Homo sapiens,0.85,AY.103,Older,North America,,Howard et al ED,Laboratory Corporation of America,CDC-OAMD,
USA/ND-CDC-IBX525502783002/2021,12/5/2021,8,21J (Delta),USA,,North Dakota,21J (Delta),202149,OL997749,Homo sapiens,0.82,AY.103,Older,North America,,Howard et al EE,Infinity Biologix,CDC-OAMD,
USA/KS-CDC-ASC210625402/2021,12/15/2021,9,21J (Delta),USA,,Kansas,21J (Delta),202150,OM051091,Homo sapiens,0.86,AY.103,Older,North America,,Howard et al EF,Aegis Sciences Corporation,CDC-OAMD,
USA/AR-UMGC-24556/2021,11/16/2021,8,21J (Delta),USA,,Arkansas,21J (Delta),202146,OL974171,Homo sapiens,0.85,AY.103,Older,North America,,Gohl et al D,,,
USA/NV-CDC-LC0404542/2021,11/17/2021,9,21J (Delta),USA,,Nevada,21J (Delta),202146,OL808905,Homo sapiens,0.83,AY.103,Older,North America,,Howard et al EG,Laboratory Corporation of America,CDC-OAMD,
USA/HI-CDC-QDX30609771/2021,10/25/2021,8,21J (Delta),USA,,Hawaii,21J (Delta),202143,OL622124,Homo sapiens,0.83,AY.103,Older,North America,,Howard et al EH,Quest Diagnostics Incorporated,CDC-OAMD,
Switzerland/BL-ETHZ-34542187/2021,10/25/2021,8,21J (Delta),Switzerland,,Basel-Land,21J (Delta),202143,OU979019,Homo sapiens,0.77,AY.41,Older,Europe,,? BO,"Viollier AG; Hagmattstrasse 14, 4123 Allschwil",ETH ZURICH D-BSSE,
AUT/SKV-268/2021,10/4/2021,11,21J (Delta),Austria,,Upper Austria,21J (Delta),202140,OL536323,Homo sapiens,0.83,AY.41,Older,Europe,,Puehringer et al X,,,
AUT/SKV-269/2021,10/4/2021,11,21J (Delta),Austria,,Upper Austria,21J (Delta),202140,OL536324,Homo sapiens,0.82,AY.41,Older,Europe,,Puehringer et al Y,,,
AUT/SKV-286/2021,12/1/2021,11,21J (Delta),Austria,,Upper Austria,21J (Delta),202148,OM269123,Homo sapiens,0.82,AY.41,Older,Europe,,Puehringer et al Z,,,
AUT/SKV-271/2021,11/2/2021,11,21J (Delta),Austria,,Upper Austria,21J (Delta),202144,OL721903,Homo sapiens,0.82,AY.41,Older,Europe,,Puehringer et al AA,,,
AUT/SKV-272/2021,11/2/2021,11,21J (Delta),Austria,,Upper Austria,21J (Delta),202144,OL721904,Homo sapiens,0.82,AY.41,Older,Europe,,Puehringer et al AB,,,
USA/FL-CDC-STM-674R45AVS/2021,10/26/2021,8,21J (Delta),USA,,Florida,21J (Delta),202143,OL501677,Homo sapiens,0.83,AY.103,Older,North America,,Howard et al EI,'Helix',CDC-OAMD,
USA/WI-CDC-ASC210480107/2021,11/13/2021,8,21J (Delta),USA,,Wisconsin,21J (Delta),202145,OL885845,Homo sapiens,0.82,AY.103,Older,North America,,Howard et al EJ,Aegis Sciences Corporation,CDC-OAMD,
USA/AR-CDC-QDX30566422/2021,10/29/2021,8,21J (Delta),USA,,Arkansas,21J (Delta),202143,OL490294,Homo sapiens,0.83,AY.103,Older,North America,,Howard et al EK,Quest Diagnostics Incorporated,CDC-OAMD,
